player_id,player_name,height_in,weight_lbs,t_s,fs_year,fs_age,t_g,t_gs,t_mp,t_allstar,t_fgm,t_fga,t_2pm,t_2pa,t_3pm,t_3pa,t_ftm,t_fta,t_orb,t_ast,t_tov,t_pts,o_fgp,o_2fgp,o_3pp,o_ftp,o_tsp,o_efgp,o_ortg,o_ows,p48_ows,o_obpm,o_vorp,o_per,o_orbp,o_drbp,o_astp,o_tovp,o_usgp
ellebcj01,CJ Elleby,78,200,2,2020,20,88,28,1366,0,146,374,102,214,44,160,71,99,77,97,61,407,0.39,0.477,0.275,0.717,0.487,0.449,103,-0.1,-0.004,-3.8,-1.1,9.2,6,15.1,10.1,12.7,15.2
knoxke01,Kevin Knox,79,215,5,2018,19,275,66,4962,0,721,1875,416,983,305,892,306,429,147,205,233,2053,0.385,0.423,0.342,0.713,0.497,0.466,98,-2.5,-0.025,-2.8,-3.1,9.2,3.1,14.4,6.2,10.1,19.9
chrisjo01,Josh Christopher,76,215,2,2021,20,138,4,2120,0,377,829,300,551,77,278,128,173,72,223,174,959,0.455,0.544,0.277,0.74,0.53,0.501,101,-0.7,-0.014,-2.5,-1,11.9,3.7,9.7,16.2,16.1,21.4
micicva01,Vasilije Mici?,75,188,2,2023,30,69,23,1336,0,178,431,127,250,51,181,65,81,22,282,111,472,0.413,0.508,0.282,0.802,0.506,0.472,103,-0.4,-0.014,-2.9,-1,10.1,1.8,7.9,29.6,19.2,18.9
pinsoth01,Theo Pinson,79,212,5,2018,23,127,1,1081,0,116,363,57,137,59,226,55,61,26,141,69,346,0.32,0.416,0.261,0.902,0.444,0.401,94,-1,-0.06,-4.4,-0.7,7.7,2.6,15.4,18.2,15,18.3
bowmaky01,Ky Bowman,73,187,1,2019,22,45,12,1015,0,134,321,101,214,33,107,34,41,24,131,70,335,0.417,0.472,0.308,0.829,0.494,0.469,96,-0.6,-0.018,-4,-0.6,9.1,2.5,10.7,19.4,17.1,17.2
culveja01,Jarrett Culver,78,195,4,2019,20,144,43,2480,0,367,915,275,582,92,333,108,212,127,173,136,934,0.401,0.473,0.276,0.509,0.463,0.451,95,-2.1,-0.021,-3.9,-1.6,9.3,5.3,12.2,10,11.9,19.1
pokusal01,Aleksej Pokusevski,85,210,4,2020,19,168,65,3429,0,482,1234,311,671,171,563,118,168,165,327,255,1253,0.391,0.463,0.304,0.702,0.479,0.46,94,-4,-0.04,-3,-1,10.5,5,19.1,14.1,16.3,19.5
robinje01,Jerome Robinson,77,190,5,2018,21,135,12,1685,0,198,548,118,279,80,269,69,97,21,136,83,545,0.361,0.423,0.297,0.711,0.461,0.434,93,-1.5,-0.03,-4.5,-1.2,6.7,1.3,12.2,10.7,12.3,16.7
maledth01,Théo Maledon,77,175,4,2020,19,177,64,3753,0,467,1255,285,667,182,588,257,324,63,518,283,1373,0.372,0.427,0.31,0.793,0.491,0.445,97,-3,-0.03,-3.9,-2.4,9.2,1.7,12.1,19.9,16.8,19.1
mudiaem01,Emmanuel Mudiay,75,200,5,2015,19,300,165,7176,0,1222,3049,946,2194,276,855,576,774,138,1139,669,3296,0.401,0.431,0.323,0.744,0.486,0.446,96,-4.2,-0.021,-1.6,-2.2,11.8,2.1,11.4,24.8,16.5,24.5
branhma01,Malaki Branham,76,180,3,2022,19,157,61,3358,0,581,1328,395,767,186,561,130,153,59,303,187,1478,0.438,0.515,0.332,0.85,0.53,0.508,102,-1.3,-0.02,-3.1,-2.7,9.3,1.9,9.9,12.9,11.8,19.7
primojo01,Joshua Primo,76,189,3,2021,19,56,16,1068,0,111,299,66,149,45,150,51,68,35,99,72,318,0.371,0.443,0.3,0.75,0.483,0.446,94,-0.9,-0.033,-4,-0.9,6.9,3.4,9.2,11.7,18,15.8
davisjo06,Johnny Davis,74,170,3,2022,20,91,11,1129,0,142,354,108,238,34,116,31,56,32,63,31,349,0.401,0.454,0.293,0.554,0.461,0.449,96,-0.9,-0.039,-5.4,-1.3,7,3.1,11.6,7.4,7.6,15.5
doumbse01,Sekou Doumbouya,80,230,3,2019,19,96,30,1639,0,204,526,149,311,55,215,79,114,61,66,81,542,0.388,0.479,0.256,0.693,0.47,0.44,92,-1.7,-0.055,-5.2,-1.8,6.9,4.1,14.3,5.9,12.3,17.5
hayeski01,Killian Hayes,77,195,4,2020,19,210,145,5479,0,671,1758,505,1159,166,599,196,253,81,1090,418,1704,0.382,0.436,0.277,0.775,0.456,0.429,97,-4.7,-0.038,-3.9,-2.7,9.4,1.6,11.2,28.8,18.3,17.9
smithde03,Dennis Smith Jr.,75,205,5,2017,20,216,135,5152,0,891,2219,677,1533,214,686,321,492,135,917,483,2317,0.402,0.442,0.312,0.652,0.476,0.45,95,-5,-0.042,-1.9,-0.4,12.2,2.8,10.9,28.5,16.5,25
washidu02,Duane Washington Jr.,74,197,2,2021,21,79,10,1362,0,267,683,146,357,121,326,62,85,6,148,91,717,0.391,0.409,0.371,0.729,0.498,0.48,98,-1.1,-0.037,-1.9,-0.9,10,0.5,9.4,16.5,11.2,25.5
georgke01,Keyonte George,76,185,2,2023,20,94,63,2628,0,417,1076,220,487,197,589,235,281,24,441,251,1266,0.388,0.452,0.334,0.836,0.528,0.479,104,-0.7,-0.014,-1.6,-1.7,10.3,1,10.2,24.2,17.3,23.1
weslebl01,Blake Wesley,75,185,3,2022,19,115,4,1745,0,200,496,164,369,36,127,90,139,35,291,138,526,0.403,0.444,0.283,0.647,0.472,0.44,96,-1.7,-0.049,-5.5,-1.9,7.4,2.1,9.9,22.2,19.9,16.7
pargoje01,Jeremy Pargo,74,219,5,2011,25,86,16,1123,0,160,422,122,303,38,119,58,90,21,155,100,416,0.379,0.403,0.319,0.644,0.451,0.424,89,-1.3,-0.054,-3.3,-0.9,8.2,2.1,7.2,22.4,17.8,22.5
