Name,TeamAbbreviation,GamesPlayed,Minutes,Assists,AssistPoints,TwoPtAssists,ThreePtAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,Corner3Assists,Arc3Assists
Jordan Clarkson,UTA,276,7967,959,2347,530,429,370,133,27,166,263
Caris LeVert,CLE,266,7926,1204,2888,724,480,530,154,40,131,349
Lauri Markkanen,UTA,251,7859,401,1000,203,198,128,53,22,72,126
Karl-Anthony Towns,NYK,236,7856,886,2116,542,344,404,97,41,124,220
Scottie Barnes,TOR,224,7831,1091,2612,661,430,451,161,49,148,282
Terance Mann,LAC,327,7808,656,1620,348,308,206,106,36,90,218
Norman Powell,LAC,268,7807,461,1133,250,211,171,62,17,79,132
Jakob Poeltl,TOR,282,7793,709,1615,512,197,275,146,91,48,149
Bobby Portis,MIL,312,7751,400,1029,171,229,116,27,28,71,158
Brook Lopez,MIL,263,7739,320,787,173,147,113,36,24,29,118
Bojan Bogdanovic,NYK,257,7718,505,1272,243,262,162,66,15,102,160
Paul George,PHI,227,7706,1068,2607,597,471,396,143,58,159,312
Draymond Green,GSW,258,7697,1836,4423,1085,751,703,270,112,151,600
Miles Bridges,CHA,226,7681,711,1776,357,354,256,70,31,120,234
Grant Williams,CHA,311,7666,484,1217,235,249,152,43,40,79,170
Donte DiVincenzo,MIN,284,7653,871,2054,559,312,389,132,38,110,202
Joel Embiid,PHI,229,7634,940,2344,476,464,296,109,71,130,334
Desmond Bane,MEM,261,7550,879,2152,485,394,299,166,20,123,271
Bradley Beal,PHX,218,7527,1115,2657,688,427,399,219,70,158,269
Kyle Lowry,PHI,240,7492,1393,3316,863,530,561,229,73,189,341
Reggie Jackson,PHI,302,7473,1126,2708,670,456,381,195,94,139,317
Immanuel Quickley,TOR,294,7442,1024,2462,610,414,443,129,38,139,275
Kyle Anderson,GSW,308,7432,1151,2707,746,405,521,185,40,120,285
Spencer Dinwiddie,DAL,247,7392,1292,3173,703,589,492,155,56,220,369
Tyus Jones,PHX,312,7386,1642,3971,955,687,574,308,73,226,461
Duncan Robinson,MIA,282,7379,541,1256,367,174,206,141,20,62,112
Bruce Brown,TOR,284,7370,712,1716,420,292,279,94,47,112,180
Myles Turner,IND,251,7326,318,750,204,114,127,53,24,31,83
Michael Porter Jr.,DEN,235,7325,337,789,222,115,144,64,14,35,80
Bogdan Bogdanovic,ATL,250,7317,759,1788,489,270,329,134,26,115,155
Evan Mobley,CLE,222,7314,622,1502,364,258,258,90,16,83,175
Anfernee Simons,POR,250,7174,911,2187,546,365,333,140,73,132,233
Ayo Dosunmu,CHI,258,7167,818,1912,542,276,310,147,85,85,191
Malik Monk,SAC,285,7120,1054,2475,687,367,501,139,47,142,225
Nicolas Batum,LAC,289,6985,535,1276,329,206,182,100,47,69,137
Al Horford,BOS,243,6960,726,1775,403,323,254,102,47,106,217
Cole Anthony,ORL,276,6952,1074,2591,631,443,408,153,70,114,329
Jaren Jackson Jr.,MEM,241,6941,341,851,172,169,102,52,18,37,132
Herbert Jones,NOP,227,6826,542,1284,342,200,199,100,43,57,143
Kristaps Porzingis,BOS,221,6760,485,1176,279,206,186,52,41,62,144
Marcus Smart,MEM,215,6759,1219,2902,755,464,550,142,63,127,337
Josh Giddey,CHI,235,6758,1372,3288,828,544,601,168,59,172,372
Georges Niang,CLE,333,6749,367,881,220,147,152,53,15,52,95
Khris Middleton,MIL,224,6741,1194,2792,790,404,595,157,38,127,277
Cameron Johnson,BKN,249,6721,467,1140,261,206,151,87,23,76,130
Isaiah Stewart,DET,260,6652,331,805,188,143,88,59,41,23,120
Wendell Carter Jr.,ORL,241,6651,530,1256,334,196,186,88,60,44,152
