Name,TeamAbbreviation,GamesPlayed,Minutes,Assists,AssistPoints,TwoPtAssists,ThreePtAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,Corner3Assists,Arc3Assists
Alex Len,SAC,195,2334,171,438,75,96,33,32,10,20,76
Robin Lopez,MIL,160,2329,132,322,74,58,45,19,10,10,48
Otto Porter Jr.,TOR,114,2329,165,406,89,76,57,20,12,20,56
Damian Jones,CLE,175,2309,128,321,63,65,33,22,8,17,48
Nerlens Noel,BKN,106,2303,79,182,55,24,35,7,13,5,19
Cason Wallace,OKC,105,2297,169,400,107,62,76,28,3,13,49
Bol Bol,PHX,165,2252,99,237,60,39,45,7,8,11,28
Jericho Sims,NYK,161,2249,86,216,42,44,18,16,8,13,31
Peyton Watson,DEN,125,2222,125,294,81,44,50,21,10,8,36
Lou Williams,ATL,122,2222,330,791,199,131,150,30,19,48,83
Tomas Satoransky,WAS,113,2213,455,1082,283,172,197,61,25,51,121
Scoot Henderson,POR,79,2211,423,1032,237,186,145,61,31,64,122
Kevin Knox II,DET,166,2199,85,203,52,33,34,12,6,8,25
Ben McLemore,POR,117,2190,98,239,55,43,42,10,3,13,30
Elfrid Payton,NOP,120,2177,350,825,225,125,147,46,32,37,88
Enes Freedom,BOS,107,2169,92,232,44,48,23,6,15,7,41
Jordan Goodwin,MEM,121,2167,323,766,203,120,107,72,24,34,86
Dwight Howard,LAL,129,2166,96,218,70,26,31,19,20,4,22
Willy Hernangomez,NOP,133,2143,146,347,91,55,45,24,22,9,46
Josh Christopher,HOU,138,2120,223,534,135,88,109,22,4,12,76
Markieff Morris,DAL,142,2088,145,348,87,58,58,18,11,17,41
Justise Winslow,POR,103,2058,232,541,155,77,101,41,13,21,56
Andre Iguodala,GSW,102,2054,275,671,154,121,106,39,9,29,92
Isaiah Livers,DET,94,2051,87,214,47,40,24,17,6,16,24
John Wall,LAC,74,2043,453,1121,238,215,175,44,19,73,142
Amen Thompson,HOU,86,2034,211,518,115,96,71,28,16,20,76
JT Thor,CLE,168,2027,84,207,45,39,29,12,4,9,30
Jaden Hardy,DAL,143,2018,201,484,119,82,95,20,4,33,49
Serge Ibaka,MIL,111,2018,127,311,70,57,34,21,15,17,40
D.J. Augustin,LAL,112,2012,295,709,176,119,122,33,21,29,90
Avery Bradley,LAL,89,2008,93,221,58,35,43,10,5,13,22
DeAndre' Bembry,MIL,107,1998,173,423,96,77,61,22,13,25,52
Brandon Boston Jr.,NOP,127,1961,158,381,93,65,60,25,8,12,53
Juancho Hernangomez,TOR,134,1958,80,207,33,47,23,7,3,16,31
Saben Lee,PHX,134,1943,378,906,228,150,142,61,25,46,104
Day'Ron Sharpe,BKN,144,1908,142,332,94,48,54,23,17,18,30
Frank Jackson,UTA,94,1907,92,230,46,46,31,9,6,14,32
Anthony Gill,WAS,197,1903,112,271,65,47,40,17,8,11,36
Max Christie,LAL,131,1899,110,270,60,50,35,19,6,14,36
Romeo Langford,SAS,109,1898,84,200,52,32,30,17,5,14,18
Cody Zeller,NOP,133,1896,157,386,85,72,44,20,21,24,48
Gradey Dick,TOR,79,1885,107,260,61,46,46,14,1,18,28
Sterling Brown,LAL,104,1881,108,265,59,49,49,7,3,22,27
Kent Bazemore,LAL,106,1878,142,343,83,59,58,13,12,12,47
Dwayne Bacon,ORL,72,1853,93,232,47,46,23,8,16,9,37
Sam Merrill,CLE,123,1835,174,427,95,79,62,24,9,35,44
Wayne Ellington,LAL,89,1822,97,231,60,37,49,5,6,15,22
Tony Snell,NOP,100,1815,87,217,44,43,24,15,5,10,33
Jaylin Williams,OKC,118,1811,186,454,104,82,50,25,29,23,59
Moses Brown,IND,150,1804,22,48,18,4,5,7,6,0,4
Jake LaRavia,MEM,95,1804,167,406,95,72,58,37,0,21,51
Anthony Black,ORL,95,1787,191,463,110,81,83,21,6,29,52
Trent Forrest,ATL,151,1758,281,696,147,134,83,49,15,45,89
Blake Wesley,SAS,117,1757,293,730,149,144,86,49,14,31,113
Kira Lewis Jr.,UTA,131,1745,233,557,142,91,96,38,8,31,60
Nemanja Bjelica,GSW,108,1738,228,550,134,94,93,31,10,31,63
Timothe Luwawu-Cabarrot,ATL,110,1735,109,264,63,46,38,19,6,24,22
Dereck Lively II,DAL,74,1734,103,258,51,52,22,19,10,12,40
LaMarcus Aldridge,BKN,73,1725,91,234,39,52,23,8,8,10,42
Caleb Houstan,ORL,126,1716,59,157,20,39,15,3,2,16,23
Hassan Whiteside,UTA,101,1708,46,116,22,24,18,2,2,6,18
Wenyen Gabriel,MEM,120,1704,64,162,30,34,20,8,2,10,24
Dewayne Dedmon,PHI,121,1702,85,208,47,38,27,11,9,9,29
Jeremy Lamb,SAC,92,1701,134,316,86,48,57,23,6,15,33
Derrick Favors,OKC,107,1692,69,188,19,50,7,7,5,13,37
Sandro Mamukelashvili,SAS,147,1679,139,336,81,58,56,21,4,9,49
Bryce McGowens,POR,106,1671,106,248,70,36,44,14,12,10,26
Ausar Thompson,DET,68,1659,134,323,79,55,54,15,10,16,39
Frank Ntilikina,CHA,143,1657,150,368,82,68,51,23,8,22,46
Kessler Edwards,DAL,141,1656,69,178,29,40,13,8,8,18,22
Solomon Hill,ATL,84,1653,87,215,46,41,26,14,6,11,30
Rodney Hood,LAC,107,1652,91,236,37,54,24,9,4,7,47
Maurice Harkless,SAC,84,1635,67,161,40,27,27,10,3,9,18
Anthony Lamb,GSW,88,1618,121,313,50,71,28,16,6,18,53
Kris Murray,POR,83,1615,94,235,47,47,32,13,2,12,35
Lindy Waters III,GSW,123,1609,101,256,47,54,29,16,2,23,31
Bruno Fernando,TOR,162,1607,112,270,66,46,31,21,14,8,38
Edmond Sumner,BKN,106,1597,117,278,73,44,46,17,10,16,28
Vince Williams Jr.,MEM,70,1586,188,460,104,84,64,35,5,27,57
AJ Griffin,ATL,92,1572,78,187,47,31,22,21,4,5,26
Marcus Sasser,DET,87,1562,260,631,149,111,85,51,13,30,81
Keon Johnson,BKN,104,1547,162,389,97,65,65,22,10,12,53
PJ Dozier,MIN,91,1538,136,325,83,53,56,19,8,22,31
Paul Millsap,PHI,89,1538,127,310,71,56,42,17,12,17,39
Vit Krejci,ATL,92,1529,140,348,72,68,44,23,5,24,44
Keon Ellis,SAC,96,1521,118,293,61,57,42,14,5,25,32
Trayce Jackson-Davis,GSW,89,1503,126,316,62,64,28,25,9,15,49
Rodney McGruder,DET,99,1472,92,220,56,36,37,13,6,10,26
Armoni Brooks,BKN,84,1468,97,234,57,40,43,12,2,9,31
Rajon Rondo,CLE,84,1467,369,899,208,161,136,46,26,34,127
Jordan Hawkins,NOP,78,1463,84,204,48,36,32,13,3,17,19
Vasilije Micic,CHA,73,1459,312,758,178,134,123,44,11,39,95
Eric Paschall,UTA,98,1431,87,233,28,59,16,9,3,17,42
DeMarcus Cousins,DEN,89,1430,147,366,75,72,53,10,12,31,41
AJ Green,MIL,113,1414,72,183,33,39,15,8,10,6,33
Jonathan Isaac,ORL,90,1393,41,93,30,11,21,5,4,2,9
Thanasis Antetokounmpo,MIL,176,1386,100,254,46,54,28,7,11,11,43
Vlatko Cancar,DEN,120,1381,111,271,62,49,42,12,8,13,36
Brad Wanamaker,WAS,84,1373,229,564,123,106,78,31,14,29,77
CJ Elleby,POR,88,1367,97,224,67,30,50,14,3,6,24
Mark Williams,CHA,65,1366,43,107,22,21,10,4,8,9,12
Duane Washington Jr.,PHX,79,1362,148,338,106,42,78,22,6,12,30
Semi Ojeleye,LAC,86,1356,46,109,29,17,16,10,3,3,14
Nikola Jovic,MIA,75,1355,118,295,59,59,42,12,5,16,43
Trey Burke,DAL,104,1355,138,338,76,62,49,15,12,20,42
MarJon Beauchamp,MIL,111,1343,67,165,36,31,27,7,2,12,19
Ish Wainright,PHX,116,1336,69,173,34,35,18,11,5,16,19
Omer Yurtseven,UTA,113,1335,80,194,46,34,34,8,4,9,25
Trevor Ariza,LAL,54,1303,82,205,41,41,30,8,3,14,27
Duop Reath,POR,81,1297,70,162,48,22,26,13,9,3,19
David Nwaba,HOU,76,1288,66,162,36,30,34,2,0,8,22
Gorgui Dieng,SAS,113,1282,135,319,86,49,49,19,18,11,38
Tony Bradley,CHI,109,1266,65,150,45,20,18,13,14,7,13
Denzel Valentine,UTA,86,1258,116,286,62,54,43,13,6,18,36
Jalen Wilson,BKN,66,1240,84,213,39,45,24,13,2,10,35
Daishen Nix,MIN,99,1239,181,421,122,59,98,20,4,15,44
GG Jackson II,MEM,48,1233,59,140,37,22,20,16,1,7,15
Dalen Terry,CHI,122,1231,126,305,73,53,49,14,10,17,36
Usman Garuba,GSW,105,1227,82,195,51,31,36,12,3,10,21
Dante Exum,DAL,61,1204,170,406,104,66,71,24,9,17,49
Jared Butler,WAS,105,1182,243,571,158,85,109,40,9,29,56
Johnny Davis,WAS,95,1178,65,156,39,26,29,8,2,2,24
Terry Taylor,CHI,95,1165,61,158,25,36,18,4,3,8,28
Scotty Pippen Jr.,MEM,52,1142,236,578,130,106,87,38,5,29,77
Frank Kaminsky,HOU,92,1131,124,294,78,46,41,26,11,21,25
Brandon Goodwin,CLE,83,1121,186,449,109,77,64,27,18,16,61
Ousmane Dieng,OKC,88,1119,96,231,57,39,43,11,3,16,23
Skylar Mays,LAL,105,1111,182,439,107,75,65,27,15,26,49
Ben Sheppard,IND,70,1086,70,163,47,23,28,17,2,7,16
Joshua Primo,LAC,56,1069,99,232,65,34,42,19,4,14,20
Eugene Omoruyi,WAS,87,1057,65,143,52,13,34,15,3,0,13
