Name,TeamAbbreviation,GamesPlayed,Minutes,Turnovers,LiveBallTurnovers,DeadBallTurnovers,LiveBallTurnoverPct,LostBallTurnovers,LostBallOutOfBoundsTurnovers,BadPassTurnovers,BadPassOutOfBoundsTurnovers,Travels,3SecondViolations,StepOutOfBoundsTurnovers,OffensiveGoaltends
Brandin Podziemski,GSW,96,2510,116,73,43,0.6293103448275862,25,3,48,20,5,0,5,0
Jaime Jaquez Jr.,MIA,93,2499,137,80,57,0.583941606,28,10,52,19,15,1,3,0
Julian Champagnie,SAS,115,2499,94,59,35,0.6276595744680851,17,4,42,9,7,0,10,0
Jock Landale,HOU,193,2486,128,60,68,0.46875,30,2,30,5,9,4,2,4
Zeke Nnaji,DEN,209,2472,89,34,55,0.38202247191011235,16,2,18,6,4,2,2,1
Kemba Walker,DAL,89,2461,140,91,49,0.65,30,8,61,28,4,0,6,0
James Johnson,IND,143,2460,119,65,54,0.5462184873949579,26,4,39,16,7,0,2,0
Toumani Camara,POR,94,2459,122,70,52,0.5737704918032787,25,5,45,9,7,0,4,4
Terence Davis,SAC,155,2451,149,85,64,0.5704697986577181,22,10,63,17,5,0,10,1
Bilal Coulibaly,WAS,84,2441,127,81,46,0.6377952755905512,28,4,53,20,7,0,4,0
Isaiah Jackson,IND,163,2438,134,44,90,0.3283582089552239,12,4,32,7,5,1,4,4
Dalano Banton,POR,171,2399,186,104,82,0.5591397849462365,41,13,63,31,6,0,2,0
Josh Jackson,SAC,113,2390,188,114,74,0.6063829787234043,36,13,78,19,7,0,3,0
Victor Oladipo,MIA,83,2359,186,125,61,0.6720430107526881,45,8,80,21,14,0,5,0
Thomas Bryant,MIA,144,2348,91,28,63,0.3076923076923077,9,5,19,9,6,7,1,2
Alex Len,SAC,195,2334,147,61,86,0.41496598639455784,31,8,30,11,5,2,1,1
Robin Lopez,MIL,160,2329,146,58,88,0.3972602739726027,31,6,27,2,25,5,0,3
Otto Porter Jr.,TOR,114,2329,68,36,32,0.5294117647058824,11,2,25,11,3,0,5,0
Damian Jones,CLE,175,2309,121,46,75,0.38016528925619836,20,6,26,14,4,4,3,1
Nerlens Noel,BKN,106,2303,97,49,48,0.5051546391752577,24,11,25,5,2,3,3,1
Cason Wallace,OKC,105,2297,58,39,19,0.6724137931034483,16,3,23,5,4,0,2,0
Bol Bol,PHX,165,2252,151,83,68,0.5496688741721855,48,16,35,12,21,0,7,0
Jericho Sims,NYK,161,2249,76,25,51,0.32894736842105265,12,5,13,5,5,2,2,1
Peyton Watson,DEN,125,2222,84,46,38,0.5476190476190477,19,7,27,9,6,0,2,1
Lou Williams,ATL,122,2222,151,120,31,0.7947019867549668,17,8,103,17,3,0,1,0
Tomas Satoransky,WAS,113,2213,142,102,40,0.7183098591549296,21,6,81,21,3,0,0,1
Scoot Henderson,POR,79,2211,264,169,95,0.6401515151515151,51,14,118,33,14,0,4,0
Kevin Knox II,DET,166,2199,96,42,54,0.4375,21,7,21,11,19,0,6,1
Ben McLemore,POR,117,2190,97,65,32,0.6701030927835051,25,4,40,8,8,0,4,0
Elfrid Payton,NOP,120,2177,170,113,57,0.6647058823529411,27,7,86,17,11,0,9,0
Enes Freedom,BOS,107,2169,98,47,51,0.47959183673469385,31,4,16,7,11,3,0,0
Jordan Goodwin,MEM,121,2167,113,76,37,0.672566372,21,6,55,15,7,0,0,0
Dwight Howard,LAL,129,2166,158,51,107,0.3227848101265823,29,3,22,13,6,11,0,5
Willy Hernangomez,NOP,133,2143,124,52,72,0.41935483870967744,25,6,27,14,11,2,0,2
Josh Christopher,HOU,138,2120,174,116,58,0.6666666666666666,46,12,70,13,17,0,3,0
Markieff Morris,DAL,142,2088,104,55,49,0.5288461538461539,20,5,35,15,5,1,2,0
Justise Winslow,POR,103,2058,129,78,51,0.6046511627906976,30,8,48,19,5,0,2,0
Andre Iguodala,GSW,102,2054,104,58,46,0.5576923076923077,6,7,52,21,8,0,2,0
Isaiah Livers,DET,94,2051,61,36,25,0.5901639344262295,13,2,23,4,8,0,6,0
John Wall,LAC,74,2043,220,158,62,0.7181818181818181,50,13,108,30,3,0,3,0
Amen Thompson,HOU,86,2034,132,73,59,0.553030303,32,14,41,13,10,0,2,1
JT Thor,CLE,168,2027,71,45,26,0.6338028169014085,22,0,23,7,9,0,1,1
Jaden Hardy,DAL,143,2018,139,84,55,0.604316547,40,6,44,19,6,0,4,0
Serge Ibaka,MIL,111,2018,98,40,58,0.40816326530612246,25,5,15,12,7,5,0,1
D.J. Augustin,LAL,112,2012,121,84,37,0.6942148760330579,19,3,65,20,4,0,1,0
Avery Bradley,LAL,89,2008,66,37,29,0.5606060606060606,9,4,28,14,3,0,3,0
DeAndre' Bembry,MIL,107,1998,102,57,45,0.5588235294117647,21,6,36,23,4,0,1,0
Brandon Boston Jr.,NOP,127,1961,100,48,52,0.48,28,10,20,13,16,0,2,0
Juancho Hernangomez,TOR,134,1958,58,30,28,0.5172413793103449,9,3,21,3,6,0,6,1
Saben Lee,PHX,134,1943,123,87,36,0.7073170731707317,16,7,71,14,6,0,3,0
Day'Ron Sharpe,BKN,144,1908,143,65,78,0.45454545454545453,26,11,39,14,1,7,4,2
Frank Jackson,UTA,94,1907,72,37,35,0.5138888888888888,9,5,28,4,10,0,7,0
Anthony Gill,WAS,197,1903,68,35,33,0.5147058823529411,12,4,23,11,5,0,1,0
Max Christie,LAL,131,1899,63,40,23,0.6349206349206349,11,2,29,11,1,0,1,0
Romeo Langford,SAS,109,1898,56,29,27,0.5178571428571429,8,6,21,9,4,0,4,0
Cody Zeller,NOP,133,1896,100,44,56,0.44,14,5,30,9,4,3,0,1
Gradey Dick,TOR,79,1885,83,58,25,0.6987951807228916,26,5,32,9,4,0,2,0
Sterling Brown,LAL,104,1881,64,45,19,0.703125,15,3,30,5,4,0,1,0
Kent Bazemore,LAL,106,1878,103,63,40,0.6116504854368932,22,6,41,14,2,0,7,0
Dwayne Bacon,ORL,72,1853,46,25,21,0.5434782608695652,8,1,17,9,6,0,1,0
Sam Merrill,CLE,123,1835,41,20,21,0.4878048780487805,3,1,17,7,4,0,2,0
Wayne Ellington,LAL,89,1822,52,36,16,0.6923076923076923,5,1,31,10,0,0,2,0
Tony Snell,NOP,100,1815,40,26,14,0.65,5,2,21,4,3,0,1,0
Jaylin Williams,OKC,118,1811,71,26,45,0.36619718309859156,5,3,21,17,3,0,0,1
Moses Brown,IND,150,1804,94,35,59,0.3723404255319149,22,3,13,2,8,9,0,8
Jake LaRavia,MEM,95,1804,98,58,40,0.5918367346938775,23,4,35,10,5,0,7,1
Anthony Black,ORL,95,1787,116,70,46,0.603448276,18,7,52,20,4,0,7,1
Trent Forrest,ATL,151,1758,104,62,42,0.5961538461538461,18,3,44,18,7,0,3,0
Blake Wesley,SAS,117,1757,140,92,48,0.6571428571428571,23,6,69,20,8,0,5,0
Kira Lewis Jr.,UTA,131,1745,84,49,35,0.5833333333333334,9,3,40,15,6,0,4,0
Nemanja Bjelica,GSW,108,1738,120,68,52,0.5666666666666667,28,4,40,12,9,2,0,0
Timothe Luwawu-Cabarrot,ATL,110,1735,63,36,27,0.5714285714285714,12,5,24,11,3,0,2,0
Dereck Lively II,DAL,74,1734,72,30,42,0.4166666666666667,13,2,17,8,5,4,0,1
LaMarcus Aldridge,BKN,73,1725,70,28,42,0.4,11,4,17,8,7,1,0,0
Caleb Houstan,ORL,126,1716,35,16,19,0.45714285714285713,5,2,11,5,4,0,5,0
Hassan Whiteside,UTA,101,1708,93,39,54,0.41935483870967744,22,2,17,3,7,6,2,1
Wenyen Gabriel,MEM,120,1704,85,39,46,0.4588235294117647,17,2,22,3,5,2,1,0
Dewayne Dedmon,PHI,121,1702,108,33,75,0.3055555555555556,20,1,13,4,10,5,1,2
Jeremy Lamb,SAC,92,1701,59,35,24,0.5932203389830508,12,3,23,8,9,0,0,0
Derrick Favors,OKC,107,1692,45,17,28,0.37777777777777777,4,3,13,8,6,0,0,1
Sandro Mamukelashvili,SAS,147,1679,78,42,36,0.5384615384615384,19,1,23,13,9,1,1,0
Bryce McGowens,POR,106,1671,73,38,35,0.5205479452054794,10,7,28,6,8,0,1,0
Ausar Thompson,DET,68,1659,92,62,30,0.6739130434782609,33,5,29,11,4,0,1,3
Frank Ntilikina,CHA,143,1657,72,46,26,0.6388888888888888,13,0,33,11,6,0,1,1
Kessler Edwards,DAL,141,1656,60,34,26,0.5666666666666667,10,6,24,4,7,1,3,0
Solomon Hill,ATL,84,1653,43,20,23,0.46511627906976744,2,2,18,7,4,0,2,0
Rodney Hood,LAC,107,1652,47,29,18,0.6170212765957447,8,3,21,4,2,0,2,0
Maurice Harkless,SAC,84,1635,53,24,29,0.4528301886792453,9,2,15,10,5,1,3,0
Anthony Lamb,GSW,88,1618,73,44,29,0.6027397260273972,12,4,32,11,4,0,1,0
Kris Murray,POR,83,1615,67,47,20,0.7014925373134329,12,4,35,8,1,0,2,0
Lindy Waters III,GSW,123,1609,33,19,14,0.5757575757575758,3,4,16,3,4,0,1,0
Bruno Fernando,TOR,162,1607,118,44,74,0.3728813559322034,16,6,28,9,8,1,4,0
Edmond Sumner,BKN,106,1597,101,52,49,0.5148514851485149,16,8,36,18,7,0,8,1
Vince Williams Jr.,MEM,70,1586,104,65,39,0.625,28,4,37,16,7,1,1,0
AJ Griffin,ATL,92,1572,50,32,18,0.64,17,1,15,6,6,0,3,0
Marcus Sasser,DET,87,1562,102,71,31,0.696078431,27,6,44,11,9,0,0,0
Keon Johnson,BKN,104,1547,115,77,38,0.6695652173913044,23,9,54,5,12,0,2,0
PJ Dozier,MIN,91,1538,65,35,30,0.5384615384615384,10,8,25,11,2,0,1,1
Paul Millsap,PHI,89,1538,70,38,32,0.5428571428571428,19,5,19,10,2,1,2,0
Vit Krejci,ATL,92,1529,61,35,26,0.5737704918032787,6,9,29,6,5,0,0,0
Keon Ellis,SAC,96,1521,57,37,20,0.6491228070175439,8,5,29,3,5,0,1,0
Trayce Jackson-Davis,GSW,89,1503,67,34,33,0.5074626865671642,10,2,24,8,0,1,1,1
Rodney McGruder,DET,99,1472,42,25,17,0.5952380952380952,11,2,14,5,2,0,1,0
Armoni Brooks,BKN,84,1468,52,29,23,0.5576923076923077,9,1,20,6,5,0,4,0
Rajon Rondo,CLE,84,1467,147,91,56,0.6190476190476191,18,6,73,39,2,0,2,0
Jordan Hawkins,NOP,78,1463,54,29,25,0.5370370370370371,12,8,17,4,4,0,4,0
Vasilije Micic,CHA,73,1459,125,78,47,0.624,22,6,56,23,11,0,1,0
Eric Paschall,UTA,98,1431,70,36,34,0.5142857142857142,24,6,12,4,3,0,0,0
DeMarcus Cousins,DEN,89,1430,149,72,77,0.48322147651006714,24,5,48,19,12,0,0,1
AJ Green,MIL,113,1414,34,21,13,0.6176470588235294,10,2,11,4,2,0,2,0
Jonathan Isaac,ORL,90,1393,40,18,22,0.45,11,5,7,1,4,0,5,2
Thanasis Antetokounmpo,MIL,176,1386,95,37,58,0.3894736842105263,18,4,19,8,14,2,5,5
Vlatko Cancar,DEN,120,1381,62,34,28,0.5483870967741935,13,4,21,9,4,1,1,0
Brad Wanamaker,WAS,84,1373,94,52,42,0.5531914893617021,19,4,33,17,10,0,3,0
CJ Elleby,POR,88,1367,61,47,14,0.7704918032786885,15,4,32,6,0,0,0,0
Mark Williams,CHA,65,1366,59,23,36,0.3898305084745763,10,4,13,3,3,1,0,1
Duane Washington Jr.,PHX,79,1362,91,67,24,0.7362637362637363,23,6,44,16,1,0,1,0
Semi Ojeleye,LAC,86,1356,30,13,17,0.43333333333333335,2,3,11,3,2,2,2,0
Nikola Jovic,MIA,75,1355,60,38,22,0.6333333333333333,10,2,28,6,5,0,1,0
Trey Burke,DAL,104,1355,59,38,21,0.6440677966101694,8,3,30,7,3,0,1,0
MarJon Beauchamp,MIL,111,1343,79,32,47,0.4050632911392405,12,10,20,9,18,0,1,0
Ish Wainright,PHX,116,1336,37,13,24,0.35135135135135137,0,1,13,7,2,0,2,0
Omer Yurtseven,UTA,113,1335,82,39,43,0.47560975609756095,20,4,19,7,2,3,0,0
Trevor Ariza,LAL,54,1303,32,18,14,0.5625,7,1,11,3,2,0,3,0
Duop Reath,POR,81,1297,53,24,29,0.4528301886792453,15,3,9,6,4,0,0,1
David Nwaba,HOU,76,1288,38,20,18,0.5263157894736842,10,4,10,6,1,0,2,1
Gorgui Dieng,SAS,113,1282,84,31,53,0.36904761904761907,9,3,22,11,16,0,2,0
Tony Bradley,CHI,109,1266,68,28,40,0.4117647058823529,18,2,10,3,0,2,0,2
Denzel Valentine,UTA,86,1258,54,36,18,0.6666666666666666,12,0,24,3,6,0,5,0
Jalen Wilson,BKN,66,1240,39,16,23,0.41025641025641024,8,4,8,3,6,1,0,0
Daishen Nix,MIN,99,1239,121,89,32,0.7355371900826446,23,4,66,15,3,0,2,0
GG Jackson II,MEM,48,1233,65,33,32,0.5076923076923077,20,5,13,6,8,0,8,0
Dalen Terry,CHI,122,1231,61,30,31,0.4918032786885246,9,2,21,10,7,0,7,1
Usman Garuba,GSW,105,1227,55,21,34,0.38181818181818183,6,2,15,4,7,0,0,2
Dante Exum,DAL,61,1204,56,33,23,0.5892857142857143,15,6,18,8,2,0,2,0
Jared Butler,WAS,105,1182,100,64,36,0.64,22,6,42,21,3,0,0,0
Johnny Davis,WAS,95,1178,34,24,10,0.7058823529411765,14,3,10,0,2,0,1,0
Terry Taylor,CHI,95,1165,39,19,20,0.48717948717948717,8,2,11,1,2,0,3,0
Scotty Pippen Jr.,MEM,52,1142,109,70,39,0.6422018348623854,18,5,52,15,1,1,6,1
Frank Kaminsky,HOU,92,1131,36,20,16,0.5555555555555556,8,2,12,5,4,0,0,0
Brandon Goodwin,CLE,83,1121,72,50,22,0.6944444444444444,13,2,37,9,2,0,0,0
Ousmane Dieng,OKC,88,1119,49,36,13,0.7346938775510204,17,1,19,2,7,0,0,0
Skylar Mays,LAL,105,1111,49,34,15,0.6938775510204082,7,3,27,3,3,0,1,0
Ben Sheppard,IND,70,1086,20,11,9,0.55,2,3,9,2,0,0,0,0
Joshua Primo,LAC,56,1069,72,44,28,0.6111111111111112,8,3,36,13,2,0,3,0
Eugene Omoruyi,WAS,87,1057,55,24,31,0.43636363636363634,7,4,17,7,5,0,1,1
