Name,TeamAbbreviation,GamesPlayed,Minutes,Turnovers,LiveBallTurnovers,DeadBallTurnovers,LiveBallTurnoverPct,LostBallTurnovers,LostBallOutOfBoundsTurnovers,BadPassTurnovers,BadPassOutOfBoundsTurnovers,Travels,3SecondViolations,StepOutOfBoundsTurnovers,OffensiveGoaltends
Raul Neto,CLE,182,3280,155,100,55,0.6451612903225806,24,10,76,22,6,0,4,0
Javonte Green,NOP,171,3264,90,47,43,0.5222222222222223,19,8,28,11,5,1,6,0
Markelle Fultz,ORL,129,3263,246,164,82,0.6666666666666666,56,12,108,26,10,0,3,1
Rudy Gay,UTA,174,3211,149,91,58,0.610738255,37,12,54,11,9,0,7,0
Chris Duarte,CHI,172,3207,158,95,63,0.6012658227848101,32,8,63,11,12,0,12,0
Lamar Stevens,MEM,203,3193,115,70,45,0.6086956521739131,40,9,30,13,6,0,3,1
Ish Smith,CHA,195,3188,210,146,64,0.6952380952380952,45,13,101,33,3,0,9,0
Goga Bitadze,ORL,216,3182,158,78,80,0.4936708860759494,28,5,50,6,7,5,3,6
Dyson Daniels,ATL,143,3176,157,107,50,0.6815286624203821,30,4,77,20,8,0,4,0
Nassir Little,PHX,189,3163,108,62,46,0.5740740740740741,26,11,36,8,9,0,1,1
Furkan Korkmaz,PHI,194,3129,128,75,53,0.5859375,17,8,58,19,15,0,4,0
R.J. Hampton,MIA,170,3116,185,108,77,0.5837837837837838,28,13,80,28,14,1,2,0
Garrett Temple,TOR,175,3108,119,72,47,0.6050420168067226,18,7,54,12,9,0,5,0
Trendon Watford,BKN,184,3106,194,102,92,0.5257731958762887,40,4,62,16,19,0,1,1
Lonzo Ball,CHI,98,3094,210,121,89,0.5761904761904761,23,12,98,42,5,0,4,0
Brandon Miller,CHA,94,3071,187,86,101,0.45989304812834225,31,13,55,37,8,1,6,0
Bones Hyland,LAC,172,3039,223,124,99,0.5560538116591929,40,19,84,33,16,0,9,0
Malachi Flynn,DET,213,3032,144,91,53,0.6319444444444444,28,8,63,19,3,0,5,0
Haywood Highsmith,MIA,159,3006,94,53,41,0.5638297872340425,12,3,41,6,12,0,10,0
Svi Mykhailiuk,UTA,201,3003,166,107,59,0.6445783132530121,43,10,64,17,9,0,6,0
JaMychal Green,GSW,182,3002,162,63,99,0.3888888888888889,22,6,41,17,11,0,4,4
Danuel House Jr.,PHI,168,2975,114,67,47,0.5877192982456141,21,3,46,16,7,0,7,0
DeAndre Jordan,DEN,190,2948,202,83,119,0.41089108910891087,39,14,44,24,7,4,2,8
Moses Moody,GSW,204,2938,109,60,49,0.5504587155963303,20,6,40,16,10,1,5,0
Paul Reed,DET,226,2932,143,70,73,0.48951048951048953,40,6,30,11,16,0,2,6
Miles McBride,NYK,190,2922,79,49,30,0.620253165,14,4,35,12,7,0,1,0
Dario Saric,DEN,181,2910,201,108,93,0.5373134328358209,40,11,68,25,16,2,3,0
Bryn Forbes,MIN,170,2908,112,57,55,0.5089285714285714,24,2,33,7,23,0,4,0
Ty Jerome,CLE,152,2860,144,87,57,0.6041666666666666,30,8,57,20,10,0,8,0
Juan Toscano-Anderson,SAC,189,2854,165,80,85,0.48484848484848486,20,15,60,23,14,0,4,0
Isaiah Roby,SAS,148,2847,187,99,88,0.5294117647058824,54,13,45,25,15,0,6,1
Simone Fontecchio,DET,141,2825,123,76,47,0.6178861788617886,27,8,49,9,14,0,3,0
James Wiseman,IND,148,2799,177,58,119,0.327683616,31,9,27,12,20,8,3,4
Tristan Thompson,CLE,168,2790,140,53,87,0.37857142857142856,32,6,21,8,9,9,6,2
Mike Muscala,OKC,194,2783,80,45,35,0.5625,19,2,26,6,4,1,2,0
Kris Dunn,LAC,131,2764,176,111,65,0.6306818181818182,36,9,75,23,9,0,7,0
George Hill,IND,130,2758,106,51,55,0.4811320754716981,10,15,41,22,5,0,6,0
Tari Eason,HOU,126,2752,141,71,70,0.5035460992907801,29,7,42,12,18,0,3,4
Jeremiah Robinson-Earl,NOP,156,2743,96,52,44,0.5416666666666666,27,11,25,10,8,0,4,2
Victor Wembanyama,SAS,90,2717,328,209,119,0.6371951219512195,97,23,112,37,18,1,7,4
Keyonte George,UTA,97,2717,260,161,99,0.6192307692307693,46,20,115,41,12,0,10,1
Taj Gibson,CHA,178,2717,89,30,59,0.33707865168539325,11,8,19,10,5,1,4,3
Blake Griffin,BOS,143,2714,115,53,62,0.4608695652173913,19,7,34,14,8,0,2,2
Goran Dragic,MIL,129,2704,215,126,89,0.586046512,31,10,95,31,18,0,8,0
Khem Birch,TOR,142,2682,81,34,47,0.41975308641975306,19,3,15,10,5,1,1,0
Chet Holmgren,OKC,92,2677,154,103,51,0.6688311688311688,66,8,37,5,8,0,4,1
Facundo Campazzo,DAL,138,2661,142,87,55,0.6126760563380281,14,4,73,30,6,0,1,0
Derrick Rose,MEM,127,2652,170,105,65,0.6176470588235294,34,13,71,35,4,0,3,0
David Roddy,ATL,149,2640,127,74,53,0.5826771653543307,39,8,35,13,11,0,5,1
Gary Payton II,GSW,170,2636,96,47,49,0.4895833333333333,10,6,37,10,5,0,1,0
Kendrick Nunn,WAS,126,2614,146,104,42,0.7123287671232876,29,8,75,10,9,0,4,0
Stanley Johnson,SAS,139,2569,122,68,54,0.5573770491803278,18,6,50,17,4,0,5,0
Yuta Watanabe,MEM,180,2560,79,43,36,0.5443037974683544,16,7,27,11,6,0,5,0
Luke Kornet,BOS,196,2545,61,28,33,0.45901639344262296,11,5,17,7,3,2,1,0
JaVale McGee,SAC,208,2544,228,109,119,0.4780701754385965,44,6,65,13,8,9,3,2
Jabari Walker,POR,147,2524,108,56,52,0.5185185185185185,37,4,19,10,3,0,8,1
