Name,TeamAbbreviation,GamesPlayed,Minutes,Rebounds,DefRebounds,FTDefRebounds,DefFTReboundPct,DefTwoPtRebounds,DefTwoPtReboundPct,DefThreePtRebounds,DefThreePtReboundPct,DefFGReboundPct,OffRebounds,FTOffRebounds,OffFTReboundPct,OffTwoPtRebounds,OffTwoPtReboundPct,OffThreePtRebounds,OffThreePtReboundPct,OffFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SelfOReb,SelfORebPct
Mikal Bridges,NYK,342,11898,1475,1156,53,0.093971631,508,0.080904603,595,0.11639280125195618,0.096830831,319,5,0.010845986984815618,137,0.022584899439498846,177,0.035063391,0.028252654,0.06641545,0.074895978,0.11871069182389937,0.11399351459216762,0.12511332728921123,0.027341477603257707,0.018473335657023353,0.025033829,0.035910087719298246,0.032857142857142856,32,0.015362457993278924
Jayson Tatum,BOS,311,11237,2535,2243,143,0.29183673469387755,1005,0.1706571574121243,1095,0.21361685524775653,0.19064911484339536,292,3,0.006726457,147,0.030721003134796237,142,0.024790503,0.027489774564824505,0.13491635186184567,0.1782214156079855,0.20608899297423888,0.21528976572133168,0.20728291316526612,0.038484666,0.031162790697674417,0.016460905,0.024082826918748593,0.027237354085603113,103,0.033859303
Anthony Edwards,MIN,325,11229,1691,1457,32,0.056140350877192984,638,0.11146051712089448,787,0.158989899,0.13350196739741427,234,8,0.012882448,120,0.022417336073229963,106,0.020329881,0.021387337938866283,0.09342723,0.10425785913251094,0.1637372802960222,0.16150740242261102,0.151417004,0.02962963,0.020680741,0.009174312,0.017018034036068073,0.030540328895849646,74,0.024601063829787235
DeMar DeRozan,SAC,310,11182,1413,1230,69,0.12105263157894737,569,0.10637502336885399,592,0.11904283128896039,0.11247820189885681,183,5,0.010504202,126,0.020134228187919462,52,0.012636695018226002,0.017159934445194255,0.098726115,0.10783847980997625,0.11950286806883365,0.11815252416756176,0.12169735788630905,0.026005888125613347,0.023478260869565216,0.009895833,0.011409395973154362,0.015859030837004406,62,0.025974025974025976
Nikola Vucevic,CHI,326,10915,3569,2863,221,0.4185606060606061,1432,0.2787619233015379,1210,0.24089189727254628,0.2600393700787402,706,6,0.015584415584415584,501,0.087404047,199,0.043697848045674136,0.068053665,0.26374180534543623,0.3007228915662651,0.26413345690454126,0.2405163329820864,0.24205378973105135,0.12255406797116375,0.082293111,0.052243393,0.0362529,0.066907776,110,0.045100451004510045
Domantas Sabonis,SAC,308,10856,3880,2909,218,0.44672131147540983,1591,0.28853826623141093,1100,0.24636058230683092,0.2696662992283796,971,11,0.020036429872495445,647,0.12701217118178248,313,0.061312439,0.094126875,0.2747537584240539,0.300357569,0.28558052434456926,0.2576312576312576,0.21530698065601345,0.1566390041493776,0.12607709750566892,0.069719043,0.054882762174697244,0.081699346,154,0.11216314639475601
Pascal Siakam,IND,300,10755,2270,1733,126,0.2540322580645161,861,0.16750972762645913,746,0.16323851203501094,0.1654994850669413,537,8,0.014035087719298246,336,0.058495822,193,0.041559001,0.050924143,0.14153005464480875,0.18023976849937992,0.18630752,0.16110260336906584,0.1685823754789272,0.083246618,0.06028636,0.01369863,0.04051297,0.044517725,156,0.067357513
Nikola Jokic,DEN,313,10738,3850,2972,187,0.36666666666666664,1742,0.3213429256594724,1043,0.21971771645249633,0.2738985051140834,878,6,0.011928429423459244,643,0.1256841282251759,229,0.054497858162779626,0.093582314,0.322562358,0.3391235688906435,0.2793594306049822,0.21613995485327314,0.23025768911055694,0.1580844490216272,0.12999518536350504,0.060164084,0.052045827,0.061028771,291,0.15164147993746743
Harrison Barnes,SAS,323,10418,1536,1197,74,0.15677966101694915,573,0.10920526014865638,550,0.12312513991493172,0.11560634136298126,339,9,0.015490534,153,0.030490235,177,0.037060302,0.033694098,0.1035230352303523,0.11403136922424756,0.10834132310642378,0.12511197372349955,0.11717352415026834,0.035755479,0.028759244,0.024705882352941175,0.040415073730202075,0.026032315978456014,49,0.032493369
Fred VanVleet,HOU,281,10353,1159,1007,13,0.025590551181102362,507,0.10417094719539757,487,0.10668127053669223,0.10538592027141645,152,2,0.004040404,81,0.014711224119142753,69,0.014265040314244366,0.014502562119307744,0.09994223,0.10008703220191471,0.12410501193317422,0.10405156537753223,0.11323641928079571,0.015704154002026342,0.013935811,0.014604810996563574,0.015086206896551725,0.011555555555555555,45,0.019271948608137045
Julius Randle,MIN,289,10342,2790,2301,248,0.4444444444444444,1047,0.20944188837767552,1006,0.2074654567952155,0.20846872461413485,489,11,0.017886179,326,0.060572278,152,0.033815350389321465,0.048395262,0.17589893100097181,0.21828454031843864,0.26156941649899396,0.20515663986692542,0.214170692,0.081786252,0.05680373,0.02815534,0.033836858006042296,0.033755274,91,0.036752827140549275
Dejounte Murray,NOP,295,10242,1892,1636,67,0.1479028697571744,790,0.14900037721614484,779,0.17932780847145488,0.16265809662036076,256,1,0.001923077,151,0.024950429610046267,104,0.024656235182550973,0.024829600778967866,0.12568306010928962,0.14716636197440586,0.20915032679738563,0.18209781605659797,0.17108874656907594,0.02969815,0.025136612021857924,0.016759777,0.026483726866624122,0.019372694,70,0.027977617905675458
Luka Doncic,DAL,285,10230,2485,2251,144,0.2874251497005988,1101,0.21328942270437815,1006,0.224804469,0.21863650513645325,234,9,0.014308426073131956,119,0.028932652565037686,106,0.020634611641035625,0.024324324324324326,0.16780432309442547,0.22188711762171479,0.26869806094182824,0.22655298416565164,0.21998320738874896,0.034405385,0.032074496,0.013048635824436536,0.017264634475316967,0.029370629,85,0.028629168
De'Aaron Fox,SAC,289,10144,1205,1012,32,0.068669528,473,0.093036979,507,0.11607142857142858,0.10368176047397376,193,9,0.015437392795883362,111,0.022342995169082124,73,0.015907605142732623,0.019252904,0.088709677,0.084040747,0.1219758064516129,0.11063174114021572,0.13178984861976847,0.015015015015015015,0.030962343,0.013143483023001095,0.016269284712482467,0.014648438,63,0.024570983
Tobias Harris,DET,303,10142,1957,1646,86,0.1829787234042553,842,0.16189194385695058,718,0.1643020594965675,0.16299237279281162,311,2,0.004705882,207,0.039503817,102,0.025570318375532714,0.033481417271643735,0.15388739946380697,0.16083296411165263,0.17794253938832252,0.1581954887218045,0.18373205741626794,0.044568245,0.042075163398692814,0.024072216649949848,0.024737377160284648,0.027938342967244702,70,0.040114613
Trae Young,ATL,290,10122,988,806,7,0.015801354,356,0.068173114,443,0.099105145,0.082439125,182,2,0.004098361,113,0.021409625,67,0.014945349096587107,0.018440734,0.068544601,0.05922865,0.088621444,0.09496533,0.11101474414570685,0.017302798982188294,0.027340513670256836,0.014460511679644048,0.015457788347205707,0.013404825737265416,69,0.025660096690219413
Jalen Brunson,NYK,315,10114,1125,962,21,0.040935673,448,0.091465904,493,0.10987296634722532,0.10026638252530634,163,6,0.011741682974559686,79,0.016329061595700703,78,0.017067833698030634,0.016687925,0.068552775,0.096432015,0.12373225152129817,0.10692951015531661,0.11852502194907814,0.016443361753958587,0.017376195,0.013422818791946308,0.020132212,0.008856683,59,0.026457399103139014
Buddy Hield,GSW,339,10113,1437,1199,41,0.081188119,619,0.11688066465256798,539,0.12781598292625088,0.1217281614632608,238,6,0.012244897959183673,89,0.01818925,143,0.029527152591368986,0.023829088,0.10766246362754607,0.11615720524017467,0.13877118644067796,0.12762621511445593,0.12840466926070038,0.021624472573839662,0.015130674002751032,0.018382353,0.031784188,0.021838035,25,0.011332728921124207
RJ Barrett,TOR,294,9958,1643,1378,125,0.25100401606425704,502,0.10401989225031082,751,0.15600332363938513,0.1299792531120332,265,6,0.009787928,152,0.027828634199926768,107,0.025671785028790788,0.026895119418483906,0.080777096,0.099316868,0.16028955532574973,0.16518105849582174,0.12908496732026145,0.033472803,0.029178825,0.010964912280701754,0.025240784,0.026793431,77,0.03556582
Rudy Gobert,MIN,306,9837,3977,2906,203,0.48448687350835323,1472,0.2647005934184499,1231,0.28240422115164027,0.2724798387096774,1071,12,0.022099447513812154,673,0.15665735567970204,386,0.085266181,0.12002720163209793,0.20623916811091855,0.28199320498301245,0.31160033869602033,0.2967741935483871,0.23076923076923078,0.19041614123581338,0.14701737905119774,0.099827883,0.075466025,0.11240632805995004,93,0.16847826086956522
Kentavious Caldwell-Pope,ORL,321,9769,884,741,15,0.033707865168539325,302,0.058200039,424,0.10766886744540376,0.079544209,143,7,0.014403292,84,0.017376914,52,0.013478486,0.015646571560055222,0.045744064852345105,0.055786844,0.083962264,0.11052283256121774,0.098253275,0.022054556006964595,0.016318205,0.012173913,0.013761467889908258,0.012695313,40,0.028070175438596492
Devin Booker,PHX,279,9748,1259,1052,23,0.046558704,533,0.10485933503836317,496,0.11508120649651972,0.10954966464388374,207,7,0.018324607,113,0.023376086057095572,87,0.022075615326059377,0.022792022792022793,0.092727273,0.10472541507024266,0.12361623616236163,0.11321873147599289,0.12179487179487179,0.035573123,0.024626209322779244,0.009266409,0.020308123,0.026728110599078342,76,0.029389017788089715
Bam Adebayo,MIA,288,9747,2784,2105,162,0.3922518159806295,918,0.21738100876154393,1025,0.21799234368353892,0.217703081,679,1,0.002631579,416,0.088794023,262,0.063315611,0.076844611,0.18910963944076528,0.2230320699708455,0.2506203473945409,0.2270893371757925,0.19237012987012986,0.12845303867403315,0.079411765,0.047841306884480746,0.066483893,0.055737705,92,0.057320872
Terry Rozier,MIA,286,9675,1196,994,8,0.017467248908296942,394,0.085652174,592,0.1312347594768344,0.10822083196136538,202,3,0.006237006,112,0.022557905,87,0.019020550940096196,0.020861725547751335,0.064714946,0.086743044,0.1329268292682927,0.1335564344386979,0.125,0.020100502512562814,0.028714676,0.011523687580025609,0.017538461538461537,0.022658610271903322,72,0.030239395212095756
Jaylen Brown,BOS,280,9653,1711,1397,111,0.24557522123893805,591,0.1155877175826325,695,0.15468506565768975,0.1338746616697897,314,4,0.009367681,190,0.044073301,120,0.025380710659898477,0.034295829,0.089410273,0.11187957689178193,0.16233766233766234,0.15102845872076642,0.1684322033898305,0.052233677,0.047307499,0.023014959723820484,0.026572668112798264,0.021153846153846155,103,0.043060201
Royce O'Neale,PHX,326,9604,1754,1458,127,0.2853932584269663,698,0.13034547152194212,633,0.15150789851603638,0.1396202664428826,296,3,0.006315789,110,0.026410564225690276,183,0.039060832443970114,0.033107345,0.1323851203501094,0.12308930008045052,0.1440922190201729,0.14474492931776275,0.17532467532467533,0.033579584,0.021618903971845148,0.024745269286754003,0.042114188807235726,0.029642546,49,0.043286219
Giannis Antetokounmpo,MIL,285,9544,3275,2667,159,0.42857142857142855,1217,0.2354876160990712,1291,0.27986126165185343,0.2564154994376853,608,20,0.028735632183908046,362,0.086935639,226,0.04930192,0.067215364,0.17772511848341233,0.23297491039426524,0.31810897435897434,0.282703886,0.26903023983315955,0.12404092071611253,0.081065089,0.034065934,0.050305321314335565,0.04628821,139,0.071428571
James Harden,LAC,263,9447,1733,1555,170,0.37527593818984545,671,0.1442700494517308,714,0.16666666666666666,0.15500839395635144,178,1,0.002857143,125,0.028828413284132843,52,0.013035848583604914,0.021261261261261263,0.13861386138613863,0.13934426229508196,0.16441207075962538,0.16938008766437068,0.15871559633027524,0.030172414,0.032603158,0.016021362,0.009491525,0.023099133782483156,80,0.042964554
Tyrese Haliburton,IND,285,9431,1044,858,22,0.046610169491525424,418,0.082380765,418,0.110057925,0.094229035,186,1,0.002227171,99,0.022098214285714287,86,0.019278189,0.020691197852589195,0.08190091,0.072969252,0.10577971646673937,0.10644257703081232,0.12101910828025478,0.019196161,0.023622047244094488,0.024327784891165175,0.018415667933352822,0.022115384615384617,50,0.028506271379703536
Darius Garland,CLE,272,9296,748,616,10,0.024813896,297,0.061554404,309,0.081017305,0.070147008,132,0,0,85,0.018763796909492272,47,0.012543368027755538,0.015947807,0.059898477,0.059487179487179485,0.06961326,0.084547069,0.071071071,0.014037058,0.021897810218978103,0.021613832853025938,0.014285714285714285,0.007391763,53,0.025456292026897216
Stephen Curry,GSW,275,9275,1446,1298,9,0.018480492813141684,618,0.12755417956656348,671,0.15156991190422409,0.1390207075064711,148,1,0.002487562,73,0.018051434,74,0.015681288408561134,0.016775077028414926,0.11018237082066869,0.1230174081237911,0.1641949152542373,0.154256897,0.14299242424242425,0.018024513,0.021618625277161862,0.010550996483001172,0.015860215053763442,0.015015015015015015,41,0.015465861938890985
Russell Westbrook,DEN,306,9247,2183,1765,202,0.3692870201096892,752,0.15387763454061795,811,0.1920435709211461,0.171569704,418,13,0.021922428330522766,264,0.0528,141,0.037974684,0.046482268,0.11439114391143912,0.14578786556089043,0.23917525773195877,0.1893308664816528,0.2010204081632653,0.065618221,0.05109862,0.035863219,0.037427325581395346,0.039542144,61,0.028923660502607872
Jrue Holiday,BOS,283,9216,1372,1043,37,0.094629156,492,0.099817407,514,0.11276875822729267,0.10603984399704859,329,9,0.01910828,150,0.036864094372081595,170,0.036293766011955594,0.036558894,0.085804416,0.10267034990791897,0.11348122866894197,0.11080711354309165,0.12070874861572536,0.042995839,0.038975501,0.021660649819494584,0.036043588,0.037104072398190045,55,0.032525133
Coby White,CHI,306,9193,1122,1009,19,0.039832285115303984,409,0.094174534,581,0.13505346350534636,0.11451706188548294,113,4,0.010554089709762533,45,0.009531879,64,0.016473616473616472,0.012665582151986985,0.0857304,0.085928489,0.1291866028708134,0.1318782662158008,0.14489990467111535,0.010894495412844037,0.008571429,0.008964955,0.014517801590044937,0.022177419,24,0.013057671381936888
Donovan Mitchell,CLE,267,9177,1200,972,22,0.052132701421800945,485,0.095623028,465,0.12295081967213115,0.1072961373390558,228,7,0.016091954022988506,120,0.029154518950437316,101,0.023027816,0.025993884,0.079665738,0.090549451,0.13572854291417166,0.12508735150244585,0.11630434782608695,0.031209362808842653,0.031942298,0.015698587127158554,0.020865296,0.029281277728482696,99,0.037400831129580654
Josh Hart,NYK,281,9159,2229,1807,100,0.2336448598130841,886,0.20145520691223284,821,0.2004884004884005,0.20098904980572235,422,13,0.027777777777777776,182,0.041055718,227,0.055569155446756426,0.048015966,0.19988412514484358,0.19269102990033224,0.2228637413394919,0.20086035737921906,0.19944082013047532,0.047252747,0.040459267,0.028061224,0.056795798,0.051973051,35,0.035317860746720484
Jarrett Allen,CLE,289,9080,2969,2060,155,0.4015544041450777,1043,0.21656976744186046,862,0.2281026726647261,0.22164048865619546,909,7,0.015486725663716814,598,0.13563166250850534,304,0.081066667,0.11055276381909548,0.17844953681131157,0.2502685284640172,0.2336655592469546,0.2233115468409586,0.24097560975609755,0.16771970132107983,0.12935826174835777,0.07256894,0.071504803,0.10969116080937168,61,0.083561644
Keldon Johnson,SAS,299,9045,1687,1337,128,0.28193832599118945,629,0.12937062937062938,580,0.15808122104115563,0.1417184386355644,350,16,0.034408602150537634,238,0.044880256,96,0.025806451612903226,0.037016513354760056,0.10539714867617107,0.1262950172668969,0.19058553386911595,0.16027007818052594,0.15087719298245614,0.060589812,0.039805036555645816,0.027663934426229508,0.025695177754311863,0.026166097838452786,104,0.057300275
Dennis Schroder,BKN,293,9011,897,769,15,0.035294118,342,0.075197889,412,0.10406668350593584,0.088632891,128,5,0.010615711252653927,64,0.014106237601939608,59,0.015469324,0.014728774997006347,0.071024513,0.06920078,0.096132597,0.10149750415973377,0.11215932914046121,0.012414649286157667,0.015251652262328419,0.014598540145985401,0.015994436717663423,0.013859275053304905,28,0.017326732673267328
Kyle Kuzma,WAS,280,9008,1972,1669,111,0.2483221476510067,845,0.1699859183262925,713,0.19064171122994653,0.17885432212145563,303,6,0.012958963282937365,184,0.039391993,113,0.029838922630050172,0.035114684,0.12143290831815422,0.1791044776119403,0.22982635342185903,0.18313253012048192,0.21676646706586827,0.047320807,0.035936114,0.035714286,0.025632022471910113,0.042598509052183174,62,0.028917910447761194
Dorian Finney-Smith,BKN,290,8968,1402,932,72,0.171021378,432,0.095112285,428,0.11292875989445911,0.10321651464234277,470,14,0.029914529914529916,233,0.059712968,223,0.050101100876207595,0.054591165,0.10432569974554708,0.083494208,0.10579064587973273,0.10840861709520501,0.12719298245614036,0.07973665,0.051684088,0.043050431,0.052070646,0.044558697514995714,60,0.051457975986277875
CJ McCollum,NOP,262,8954,1114,928,18,0.043373493975903614,431,0.10501949317738792,479,0.11369570377403275,0.10941445232656005,186,3,0.007009346,91,0.019365822515428815,92,0.024159664,0.021511696250146938,0.090066225,0.11143021252153934,0.11840562719812427,0.11496062992125984,0.10982658959537572,0.016880093131548313,0.022233201581027668,0.017763845350052248,0.02584155,0.018454441,70,0.030068729
P.J. Washington,DAL,294,8941,1682,1319,140,0.31746031746031744,601,0.1386070110701107,578,0.13854266538830298,0.13857545839210156,363,11,0.021782178,211,0.045989538,141,0.033483733,0.040004545971133086,0.1523708044752264,0.12890173410404623,0.1262002743484225,0.1424810793024021,0.12797881729920565,0.059134107708553325,0.040650407,0.026170798898071626,0.030595813204508857,0.04159132,88,0.056158264
Gary Trent Jr.,MIL,286,8908,748,637,7,0.016746411,246,0.058128544423440454,384,0.099843994,0.077989601,111,1,0.002293578,70,0.014129995962858296,40,0.009915716,0.012238540275923453,0.047440699,0.053219798,0.093209055,0.10240524781341108,0.093466425,0.013580246913580247,0.017751479,0.007915567,0.010286081645773062,0.008667389,48,0.023529411764705882
Shai Gilgeous-Alexander,OKC,257,8876,1309,1109,61,0.11844660194174757,529,0.1201180744777475,519,0.12234794908062235,0.12121212121212122,200,3,0.007518797,129,0.027976578,68,0.016944929,0.022843228200371057,0.12781065088757396,0.10712401055408971,0.1343101343101343,0.12152317880794702,0.12438625204582651,0.039053905,0.022308438,0.016415868673050615,0.016855753646677473,0.017241379310344827,72,0.034433286
