Name,TeamAbbreviation,GamesPlayed,Minutes,SecondChanceOffPoss,SecondChancePoints,SecondChancePointsPct,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFg2Pct,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFg3Pct,SecondChanceFtPoints,SecondChanceEfgPct,SecondChanceTsPct,SecondChanceShotQualityAvg,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceTurnovers
Kris Dunn,LAC,131,2764,692,85,0.092091008,30,48,0.625,6,19,0.3157894736842105,7,0.582089552,0.6071428571428571,0.49805405405405406,19,27,0.40298507462686567,0.7037037037037037,0.052631579,3,6,0.089552239,0.5,0.3333333333333333,3,13,0.19402985074626866,0.23076923076923078,1,5
George Hill,IND,130,2758,607,70,0.084643289,16,29,0.5517241379310345,7,25,0.28,17,0.49074074074074076,0.5555555555555556,0.5555513888888889,12,19,0.35185185185185186,0.631578947,0.25,1,8,0.14814814814814814,0.125,1,6,17,0.3148148148148148,0.35294117647058826,1,9
Tari Eason,HOU,126,2752,865,315,0.25735294117647056,121,233,0.519313305,12,28,0.42857142857142855,37,0.5325670498084292,0.5565371024734982,0.5611027777777777,109,189,0.7241379310344828,0.5767195767195767,0.13761467889908258,1,7,0.026819923,0.14285714285714285,1,11,21,0.08045977,0.5238095238095238,1,23
Jeremiah Robinson-Earl,NOP,156,2743,711,175,0.18401682439537329,56,122,0.45901639344262296,7,31,0.22580645161290322,42,0.434640523,0.4971590909090909,0.5676368932038834,49,104,0.6797385620915033,0.47115384615384615,0.16326530612244897,4,13,0.08496732,0.3076923076923077,1,3,18,0.11764705882352941,0.16666666666666666,1,14
Victor Wembanyama,SAS,90,2717,609,252,0.12791878172588833,93,176,0.5284090909090909,12,40,0.3,30,0.5138888888888888,0.5434782608695652,0.567583904,75,132,0.6111111111111112,0.5681818181818182,0.18666666666666668,1,5,0.023148148148148147,0.2,1,11,35,0.16203703703703703,0.3142857142857143,0.7272727272727273,26
Keyonte George,UTA,97,2717,712,97,0.07326284,16,32,0.5,17,47,0.3617021276595745,14,0.5253164556962026,0.5705882352941176,0.5257244897959183,9,13,0.16455696202531644,0.6923076923076923,0.4444444444444444,5,15,0.189873418,0.3333333333333333,1,12,32,0.4050632911392405,0.375,0.75,19
Taj Gibson,CHA,178,2717,598,171,0.24118476727785615,69,124,0.5564516129032258,0,1,0,33,0.552,0.5856164383561644,0.5896640776699028,61,104,0.832,0.5865384615384616,0.098360656,0,0,0,0,0,0,1,0.008,0,0,16
Blake Griffin,BOS,143,2714,546,144,0.13926499032882012,46,84,0.5476190476190477,7,29,0.2413793103448276,31,0.5,0.5538461538461539,0.5983671052631578,41,72,0.6371681415929203,0.5694444444444444,0.17073170731707318,1,5,0.044247788,0.2,1,6,24,0.21238938053097345,0.25,1,9
Goran Dragic,MIL,129,2704,547,110,0.092127303,19,34,0.5588235294117647,17,42,0.40476190476190477,21,0.5855263157894737,0.6179775280898876,0.5431488372093023,15,25,0.32894736842105265,0.6,0.26666666666666666,2,10,0.13157894736842105,0.2,1,15,32,0.42105263157894735,0.46875,0.9333333333333333,8
Khem Birch,TOR,142,2682,689,172,0.22279792746113988,68,143,0.4755244755244755,1,5,0.2,33,0.46959459459459457,0.5088757396449705,0.5951640186915887,55,106,0.7162162162162162,0.5188679245283019,0.18181818181818182,1,5,0.033783783783783786,0.2,1,0,0,0,0,0,11
Chet Holmgren,OKC,92,2677,531,215,0.14135437212360288,85,129,0.6589147286821705,7,19,0.3684210526315789,24,0.6452702702702703,0.6635802469135802,0.5616561224489796,70,103,0.6959459459459459,0.6796116504854369,0.18571428571428572,1,2,0.013513513513513514,0.5,1,6,17,0.11486486486486487,0.35294117647058826,1,22
Facundo Campazzo,DAL,138,2661,574,55,0.074525745,5,13,0.38461538461538464,12,35,0.34285714285714286,9,0.4791666666666667,0.5288461538461539,0.49218620689655174,2,5,0.10416666666666667,0.4,0.5,3,8,0.16666666666666666,0.375,1,9,27,0.5625,0.3333333333333333,0.8888888888888888,9
Derrick Rose,MEM,127,2652,612,92,0.066282421,33,60,0.55,5,21,0.23809523809523808,11,0.5,0.5227272727272727,0.5097735294117647,16,29,0.35802469135802467,0.5517241379310345,0.25,1,3,0.037037037037037035,0.3333333333333333,0,4,18,0.2222222222222222,0.2222222222222222,1,11
David Roddy,ATL,149,2640,658,134,0.13871635610766045,48,89,0.5393258426966292,7,35,0.2,17,0.4717741935483871,0.49264705882352944,0.5640539772727272,44,68,0.5483870967741935,0.6470588235294118,0.3181818181818182,4,14,0.11290322580645161,0.2857142857142857,1,3,21,0.1693548387096774,0.14285714285714285,1,7
Gary Payton II,GSW,170,2636,632,161,0.16495901639344263,60,96,0.625,10,22,0.45454545454545453,11,0.63559322,0.6388888888888888,0.5898999999999999,53,81,0.6864406779661016,0.654320988,0.2641509433962264,6,12,0.1016949152542373,0.5,1,4,10,0.084745763,0.4,1,9
Kendrick Nunn,WAS,126,2614,513,102,0.077743902,25,43,0.5813953488372093,17,43,0.3953488372093023,1,0.5872093023255814,0.5872093023255814,0.5343153846153846,16,20,0.23255813953488372,0.8,0.3125,1,11,0.12790697674418605,0.090909091,1,16,32,0.37209302325581395,0.5,0.875,12
Stanley Johnson,SAS,139,2569,551,74,0.097240473,20,37,0.5405405405405406,9,34,0.2647058823529412,7,0.47183098591549294,0.49333333333333335,0.5619418367346939,15,27,0.38028169014084506,0.5555555555555556,0,3,10,0.14084507042253522,0.3,0.6666666666666666,6,24,0.3380281690140845,0.25,0.8333333333333334,4
Yuta Watanabe,MEM,180,2560,581,88,0.1073170731707317,21,43,0.4883720930232558,8,26,0.3076923076923077,22,0.4782608695652174,0.5301204819277109,0.5987966666666668,20,33,0.4782608695652174,0.6060606060606061,0.2,2,8,0.11594202898550725,0.25,1,6,18,0.2608695652173913,0.3333333333333333,1,8
Luke Kornet,BOS,196,2545,625,235,0.28976572133168926,101,164,0.6158536585365854,3,7,0.42857142857142855,24,0.6169590643274854,0.649171271,0.6029791262135922,96,151,0.8830409356725146,0.6357615894039735,0.17708333333333334,1,2,0.011695906432748537,0.5,1,2,5,0.029239766081871343,0.4,1,10
JaVale McGee,SAC,208,2544,609,290,0.20893371757925072,128,234,0.5470085470085471,0,7,0,34,0.5311203319502075,0.5451127819548872,0.5975334183673471,113,194,0.8049792531120332,0.5824742268041238,0.12389380530973451,0,2,0.008298755,0,0,0,5,0.020746888,0,0,20
Jabari Walker,POR,147,2524,688,216,0.23710208562019758,81,174,0.46551724137931033,3,21,0.14285714285714285,45,0.43846153846153846,0.48868778280542985,0.5681807971014493,68,133,0.6820512820512821,0.5112781954887218,0.10294117647058823,2,10,0.051282051,0.2,1,1,11,0.056410256,0.090909091,1,15
Brandin Podziemski,GSW,96,2510,678,100,0.11682242990654206,24,59,0.4067796610169492,15,38,0.39473684210526316,7,0.4793814432989691,0.5,0.5191481481481481,17,29,0.29896907216494845,0.5862068965517241,0.17647058823529413,4,10,0.10309278350515463,0.4,1,11,28,0.28865979381443296,0.39285714285714285,0.8181818181818182,16
Jaime Jaquez Jr.,MIA,93,2499,552,101,0.096558317,34,69,0.4927536231884058,4,21,0.19047619047619047,21,0.4444444444444444,0.4950980392156863,0.5365089285714285,24,46,0.5111111111111111,0.5217391304347826,0.20833333333333334,2,7,0.077777778,0.2857142857142857,1,2,14,0.15555555555555556,0.14285714285714285,1,13
Julian Champagnie,SAS,115,2499,576,109,0.11225540679711637,16,32,0.5,20,44,0.45454545454545453,17,0.6052631578947368,0.6411764705882353,0.5839232558139534,13,26,0.34210526315789475,0.5,0.23076923076923078,4,8,0.10526315789473684,0.5,0.75,16,36,0.47368421052631576,0.4444444444444444,0.9375,11
Jock Landale,HOU,193,2486,739,225,0.21428571428571427,84,156,0.5384615384615384,5,18,0.2777777777777778,42,0.5258620689655172,0.5681818181818182,0.5688934210526316,76,132,0.7586206896551724,0.5757575757575758,0.14473684210526316,1,2,0.011494252873563218,0.5,1,4,16,0.091954023,0.25,1,18
Zeke Nnaji,DEN,209,2472,549,228,0.25675675675675674,74,134,0.5522388059701493,11,20,0.55,47,0.5876623376623377,0.6,0.5693120689655172,69,117,0.7597402597402597,0.5897435897435898,0.072463768,5,9,0.058441558,0.5555555555555556,0.8,6,11,0.071428571,0.5454545454545454,0.8333333333333334,16
Kemba Walker,DAL,89,2461,562,85,0.063813814,16,24,0.6666666666666666,15,42,0.35714285714285715,8,0.5833333333333334,0.6071428571428571,0.5183820512820514,7,10,0.15151515151515152,0.7,0.14285714285714285,1,6,0.090909091,0.16666666666666666,1,14,36,0.5454545454545454,0.3888888888888889,0.7142857142857143,6
James Johnson,IND,143,2460,555,82,0.10635538261997406,30,59,0.5084745762711864,4,23,0.17391304347826086,10,0.43902439024390244,0.44565217391304346,0.5790145161290323,26,49,0.5975609756097561,0.5306122448979592,0.11538461538461539,0,4,0.048780488,0,0,4,19,0.23170731707317074,0.21052631578947367,0.75,3
Toumani Camara,POR,94,2459,710,199,0.26819407008086255,72,133,0.5413533834586466,10,25,0.4,25,0.5506329113924051,0.5751445086705202,0.5722711009174312,65,115,0.7278481012658228,0.5652173913043478,0.061538462,2,7,0.044303797,0.2857142857142857,0.5,8,18,0.11392405063291139,0.4444444444444444,1,11
Terence Davis,SAC,155,2451,533,113,0.088627451,27,42,0.6428571428571429,17,48,0.3541666666666667,8,0.5833333333333334,0.6021505376344086,0.5451155737704918,24,38,0.4222222222222222,0.631578947,0.2916666666666667,6,13,0.14444444444444443,0.46153846153846156,1,11,35,0.3888888888888889,0.3142857142857143,1,8
Bilal Coulibaly,WAS,84,2441,503,66,0.084615385,22,44,0.5,4,13,0.3076923076923077,10,0.49122807017543857,0.4782608695652174,0.5670702702702702,22,34,0.5964912280701754,0.6470588235294118,0.13636363636363635,3,8,0.14035087719298245,0.375,1,1,5,0.087719298,0.2,1,8
Isaiah Jackson,IND,163,2438,651,287,0.2452991452991453,116,206,0.5631067961165048,0,3,0,55,0.5550239234449761,0.5809716599190283,0.595334012,108,186,0.8899521531100478,0.5806451612903226,0.14814814814814814,0,1,0.004784689,0,0,0,2,0.009569378,0,0,16
