Name,TeamAbbreviation,GamesPlayed,Minutes,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,3pt And 1 Free Throw Trips,NonShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct
Jaden McDaniels,MIN,307,8526,365,1,177,59,5,3,30,0.070216049,0.11583769633507854,0.004699248
Chris Paul,SAS,276,8451,630,54,94,21,18,4,182,0.036951501,0.047861507,0.016869728209934397
Aaron Gordon,DEN,277,8438,1004,0,483,126,5,0,75,0.1487931561258784,0.19413183279742766,0.005095541
Jimmy Butler,MIA,250,8402,2012,113,882,194,9,1,150,0.2155297532656023,0.24264099037138928,0.018036072144288578
Luguentz Dort,OKC,279,8400,798,14,357,74,11,1,55,0.10900473933649289,0.20779976717112922,0.006634499
Andrew Wiggins,GSW,272,8377,821,1,410,92,14,7,32,0.10698965430229625,0.15726889144610665,0.010324484
Jonas Valanciunas,WAS,319,8336,980,0,470,96,1,0,66,0.12437285450224451,0.14105642256902762,0.002197802
Malik Beasley,DET,301,8332,274,48,87,25,11,4,27,0.027992002,0.078167116,0.004606365
Tyler Herro,MIA,251,8293,715,36,258,58,40,9,63,0.06877193,0.10643564356435643,0.019448946515397084
Mike Conley,MIN,285,8262,616,26,194,40,26,4,86,0.073162621,0.14088598402323893,0.015950920245398775
Ivica Zubac,LAC,317,8236,875,0,399,63,0,0,70,0.15758293838862558,0.15795724465558195,0
Franz Wagner,ORL,256,8204,995,32,435,93,9,0,83,0.11064041863942188,0.15104166666666666,0.007943513
Brandon Ingram,NOP,243,8198,1276,56,515,122,30,5,121,0.11609048228766539,0.14548022598870056,0.02530541
John Collins,UTA,278,8176,813,4,379,108,3,0,77,0.11179397131987123,0.15226998794696664,0.003232759
Deandre Ayton,POR,266,8160,615,0,317,89,0,0,35,0.091884058,0.094401429,0
Deni Avdija,POR,311,8156,704,4,336,94,4,1,56,0.12408759124087591,0.19189034837235866,0.004044489
Isaac Okoro,CLE,300,8132,569,0,298,73,1,0,20,0.1394589552238806,0.22372372372372373,0.001231527
Kevin Durant,PHX,225,8131,1479,43,537,143,46,12,198,0.12470537818727234,0.1565597667638484,0.036378335
Jalen Green,HOU,249,8124,1160,54,493,111,25,8,86,0.11679819616685456,0.18874425727411945,0.013713658804168952
Clint Capela,ATL,300,8121,783,0,394,85,0,0,40,0.13328822733423545,0.13342363697934304,0
Jerami Grant,POR,240,8119,1341,58,555,104,48,16,83,0.14440172993753003,0.19992795389048992,0.033189033
Tim Hardaway Jr.,DET,284,8115,650,10,210,49,57,14,60,0.072842221,0.13972055888223553,0.025761124
