player_name,height_in,weight_lbs,school_conf,col_fg,col_fga,col_2p,col_2pa,col_3p,col_3pa,col_ft,col_fta,col_trb,col_ast,col_stl,col_blk,col_tov,col_pf,col_pts,col_fgp,col_2pp,col_3pp,col_ftp,col_tsp,col_efgp,col_ws/40,col_obpm,col_dbpm,col_bpm,col_per,col_orbp,col_drbp,col_trbp,col_astp,col_stlp,col_blkp,col_tovp,col_usgp
Doug McDermott,78,225,Big East,10,18.2,7.6,12.9,2.4,5.2,5.2,6.3,9.5,1.7,0.3,0.1,2.8,2.3,27.6,0.55,0.587,0.458,0.831,0.652,0.616,0.235,9.1,-0.7,8.4,30.2,8.2,20.6,14.8,10.4,0.5,0.3,11.7,32.3
Stephen Curry,74,185,Atlantic 10,10.3,22,5.4,10.2,4.9,11.9,5.7,6.5,5.6,4.6,2.6,0.3,3.7,3,31.1,0.467,0.53,0.412,0.876,0.62,0.578,0.322,,,,,,,6.9,40.2,,0.6,12.9,38.3
Buddy Hield,76,220,SEC,7.5,16.7,4.2,8.2,3.3,8.6,3.6,4.3,6.3,2.4,1.6,0.4,2.7,2.5,21.9,0.448,0.508,0.39,0.836,0.584,0.548,0.177,7,2.4,9.4,22.4,5.6,11.6,8.7,12.9,2.3,0.9,12.7,26.6
Trayce Jackson-Davis,81,245,Big 10,8.3,14.7,8.3,14.7,0,0,5.4,8.1,11.2,2.6,0.9,2.6,2.4,2.4,22,0.565,0.566,0,0.676,0.596,0.565,0.23,7.8,3.9,11.7,29.7,10.2,21.6,16.1,14.9,1.3,7.5,11.3,26.9
Georges Niang,79,230,Big 12,8.3,16.5,6.4,11.6,1.8,4.9,3.3,4.4,6.9,4.1,0.9,0.7,3.1,4.1,21.7,0.5,0.553,0.375,0.763,0.583,0.556,0.16,4.9,1.5,6.4,21.5,4.6,14.6,9.8,20,1.3,1.6,14.3,26.9
Sam Merrill,76,205,MWC,6.6,14,3.6,7,2.9,7,4.1,4.6,4.4,4.4,1.2,0.2,1.9,2.9,20.2,0.47,0.52,0.42,0.891,0.624,0.575,0.206,5.4,1.6,7,22.1,1.1,11,6.2,22.2,1.7,0.7,10.6,22.8
Mike Muscala,82,240,Patriot League,7.6,15.1,7.4,14.4,0.2,0.7,6,7.3,11.5,2.2,0.6,2.8,2.3,3.3,21.3,0.501,0.51,0.313,0.819,0.574,0.508,0.241,6.3,2.6,8.9,29.5,10.1,24.9,17.8,13.7,0.9,7.9,10.9,28.4
Grayson Allen,76,198,ACC,6.1,14.2,3.2,6.5,2.9,7.7,5,6,4.5,4.4,1.5,0.1,2.4,3,20.1,0.43,0.49,0.38,0.834,0.591,0.533,0.189,5.9,2.2,8.1,21.4,2.3,10.1,6.4,19.6,2.1,0.3,12.4,24.1
Payton Pritchard,73,195,Big 10,5.4,12.4,3,6.1,2.4,6.3,2.8,3.5,4.5,5.4,1.7,0.1,2.4,2.6,16,0.437,0.495,0.379,0.8,0.569,0.533,0.171,4.2,2.5,6.7,19.3,2.4,10.8,6.7,25.9,2.6,0.2,14.6,21.2
Damian Lillard,74,195,Big Sky,6.9,15.6,4,8.1,2.9,7.5,6.2,7.1,5.3,4.3,1.5,0.2,2.9,2.6,23,0.446,0.497,0.39,0.867,0.606,0.54,0.209,8.5,0.7,9.2,29.3,1.7,14.2,8.1,24.3,2.3,0.6,13.4,28.6
Josh Hart,76,215,Big East,6.6,13,4.6,7.8,2,5.2,3.5,4.9,7.9,2.6,1.6,0.4,1.9,3.2,18.8,0.511,0.592,0.389,0.72,0.614,0.589,0.224,6.4,3.4,9.8,23.7,7.8,15.6,12,13.3,2.4,1.2,11,22.7
Malcolm Brogdon,76,229,ACC,5.8,13.5,4,8.6,1.8,4.9,4.1,4.6,5.4,3.2,1.1,0.3,2,2.4,17.4,0.43,0.466,0.365,0.876,0.556,0.496,0.196,4.8,3.8,8.6,20.6,2.6,14.3,8.7,17.7,1.9,0.9,11.3,25.3
Jaime Jaquez Jr.,78,225,Big 10,6.4,13.5,5.3,10.1,1.1,3.4,3.2,4.3,8,2.5,1.7,0.6,1.9,2.6,17.1,0.475,0.524,0.328,0.737,0.55,0.516,0.183,5.2,3.2,8.4,21.6,7.4,16.6,12,12.5,2.5,1.9,10.9,22.5
Desmond Bane,77,215,Big 12,6.2,12.4,3.8,7.1,2.3,5.4,2,2.5,6.2,3.1,1.2,0.5,2.1,2.9,16.7,0.495,0.542,0.433,0.804,0.611,0.589,0.157,4.8,2.3,7.1,19.2,3.8,14.3,9.1,16.1,1.8,1.4,13.1,19.9
Kemba Walker,72,184,Big East,6.3,14.8,5,10.6,1.4,4.2,5.5,7,5.4,5,2,0.3,2.8,1.9,19.6,0.428,0.469,0.326,0.783,0.539,0.475,0.196,9.2,3.9,13.1,25.7,3.5,10.6,7.3,26.6,3.2,0.7,13.5,26.2
Jevon Carter,73,200,Big 12,5.5,13.4,3.2,7.1,2.2,6.3,3.2,4,5,5.2,3.1,0.3,2.5,3.3,16.4,0.407,0.453,0.355,0.798,0.534,0.491,0.184,4.7,5.1,9.9,19.9,3.2,11.7,7.1,24.3,4.4,1,13.8,21
Klay Thompson,77,220,Big 10,7.1,16.8,4.2,9.4,2.9,7.4,3.8,4.5,5.6,3.1,1.5,0.9,3.4,2.9,20.9,0.424,0.45,0.39,0.827,0.55,0.509,0.159,6.8,3,9.8,23.6,3.3,13.8,8.7,20.3,2.6,2.7,15.3,31.9
Devonte' Graham,73,195,Big 12,4.9,11.5,2.2,5.1,2.6,6.4,3.2,4.1,3.9,5.6,1.8,0.1,2.4,2.1,15.6,0.422,0.437,0.409,0.787,0.578,0.536,0.164,5.2,3.1,8.3,18.2,1.7,8.9,5.5,23.6,2.5,0.3,15.1,19.7
Monte Morris,74,183,Big 12,5.4,11.3,4.1,7.9,1.3,3.4,2.4,3.1,4.4,6.5,1.9,0.3,1.4,1.8,14.4,0.476,0.517,0.381,0.78,0.566,0.533,0.176,5.3,3.3,8.6,20.5,2.7,9.2,6.1,27.5,2.7,0.9,9.9,17.7
Paul Millsap,79,257,Conference USA,8.1,14.1,8,13.9,0.1,0.2,4.8,7.7,14.5,1.1,1.5,2.3,2.8,3.6,21.1,0.577,0.58,0.375,0.62,0.594,0.579,0.304,,,,,,,19.3,5.6,,3.5,13.5,23.7
Joe Harris,78,220,ACC,5.6,12.5,3,6.2,2.6,6.3,2.9,4.1,5,2.5,1.1,0.5,2.1,3,16.6,0.445,0.484,0.407,0.722,0.577,0.548,0.174,4.6,2.8,7.4,19.3,3.7,12.4,8.1,14.6,1.9,1.4,12.6,23.6
Wayne Ellington,76,207,ACC,7.5,16.2,4.7,9.2,2.8,7,2.8,3.5,5.7,3.1,1.3,0.2,2.1,2.1,20.7,0.463,0.513,0.397,0.809,0.577,0.549,0.164,,,,,,,8,12.6,,0.4,10.7,22.1
Eric Paschall,78,255,Multiple,5.8,12.4,4.1,7.4,1.7,5.1,3.3,4.4,6.9,2.1,1,0.7,2.6,3.1,16.6,0.468,0.562,0.331,0.765,0.574,0.535,0.14,3,1.4,4.3,17.8,6.4,14.3,10.4,10.1,1.5,2,15.3,22.3
Jalen Brunson,74,190,Big East,6.9,13.6,4.8,8.2,2.1,5.4,4,4.8,3.4,5.2,1.2,0,2.6,2.5,19.9,0.51,0.587,0.393,0.82,0.628,0.588,0.206,5.8,2.2,8,22.1,1.8,8.1,5.1,24.3,1.7,0,14.1,24
Ochai Agbaji,77,215,Big 12,5.9,13.3,3.4,6.5,2.5,6.7,2.2,3.1,5.4,2,1.2,0.6,2.1,2.2,16.6,0.448,0.526,0.373,0.714,0.564,0.542,0.148,4.5,2.6,7,16.7,3.5,11.3,7.6,9.4,1.7,1.5,12.5,21
Denzel Valentine,76,220,Big 10,5.5,12.5,3,6.3,2.5,6.2,2.1,2.7,8.2,6.1,1.3,0.4,3,2.9,15.7,0.442,0.476,0.408,0.779,0.569,0.544,0.18,5.8,3.5,9.2,20.4,4.6,18.7,12,29.5,1.9,1.1,18,22.1
Grant Williams,78,236,SEC,7.3,14.2,6.9,12.8,0.4,1.4,6.7,8.8,9,2.9,1.2,2.1,2.9,4.4,21.7,0.516,0.54,0.291,0.758,0.591,0.53,0.209,5.4,3.5,8.9,25.7,9.7,15.3,12.7,14.8,1.7,6,13.7,26.5
Skylar Mays,75,205,SEC,5.2,11.8,3.5,6.7,1.7,5.1,4.1,4.8,4.8,3.9,2.1,0.3,2.4,2.2,16.3,0.445,0.52,0.345,0.845,0.58,0.519,0.14,4,2.2,6.1,19.1,1.8,11.4,6.7,17.1,3,0.7,14.6,20
Dillon Brooks,78,225,Big 10,7.4,15.8,5.8,11.1,1.7,4.7,3.9,4.9,6.3,3.5,1.2,0.6,3,4.1,20.5,0.472,0.518,0.362,0.794,0.565,0.526,0.166,4.5,1.5,6,21.1,6.6,11.3,9,17.9,1.8,1.7,14.1,26.4
Corey Kispert,78,224,WCC,5.9,12.2,3,5.2,2.9,7.1,2.2,2.7,5.9,2,1,0.5,1.5,2.4,16.9,0.483,0.585,0.408,0.824,0.626,0.601,0.19,5.3,1.8,7.1,18.5,4.3,11.9,8.4,7.9,1.3,1.3,10.1,18.2
Tim Hardaway Jr.,77,205,Big 10,5.9,13.9,3.7,7.3,2.3,6.6,3.1,4.3,4.9,2.5,0.9,0.4,2,2.4,17.2,0.425,0.5,0.343,0.724,0.539,0.507,0.138,4,1.6,5.6,18.3,2.2,13.7,7.9,13.1,1.4,1,11.4,25.2
Draymond Green,78,230,Big 10,6,12.9,5,10.1,1,2.8,3.8,5.5,12.1,4.7,2,1.3,3.1,4.4,16.8,0.467,0.496,0.361,0.687,0.543,0.506,0.212,6.4,5.6,12,25.4,9.3,26.6,18,24.6,3,3.6,16.5,23.7
Ben Sheppard,78,190,Missouri Valley,6.8,14.2,4.3,7.5,2.5,6.8,2.7,4,6,2.8,1.6,0.2,2.2,3,18.8,0.475,0.57,0.37,0.696,0.583,0.563,0.154,2.1,-0.3,1.7,18.9,3.3,13.7,8.7,12.8,2.2,0.6,12,23.3
Cameron Johnson,80,210,Multiple,6,13.2,3,5.7,3,7.5,2.6,3.2,6.4,2.8,1.2,0.4,1.6,2.8,17.7,0.457,0.523,0.405,0.817,0.601,0.571,0.162,5.7,2.3,7.9,19.3,4.8,12.5,8.7,13,1.7,1.1,9.9,19.6
Ayo Dosunmu,77,200,Big 10,7.6,16.2,6.1,11.9,1.5,4.3,3.4,4.5,5.8,4.7,1.3,0.3,3.3,2.3,20.1,0.47,0.516,0.345,0.75,0.548,0.516,0.154,4.8,2,6.9,20.2,2.8,13.7,8.3,24.2,1.9,0.7,15.2,26.7
Jalen Wilson,78,220,Big 12,6.4,14.7,4.6,9.2,1.8,5.6,4,5.4,10.1,2.6,1,0.5,2.4,2.6,18.5,0.434,0.506,0.316,0.732,0.535,0.494,0.163,4.7,2.4,7.1,19.3,6.5,21.5,14.2,12.2,1.4,1.4,12.1,24.6
Dwight Powell,82,240,ACC,5.8,12.4,5.4,11.2,0.4,1.3,4.5,6.2,9.6,2.7,1.4,1.3,3.2,4.4,16.4,0.464,0.484,0.289,0.722,0.533,0.479,0.146,1.8,3.3,5,19.4,7.4,21.9,14.3,14.6,2.1,3.5,17.1,23.8
Pat Connaughton,77,209,ACC,4.6,10.2,2.2,4,2.4,6.2,1.5,1.9,7.3,2.3,0.8,0.6,1.2,2.1,13.1,0.45,0.549,0.386,0.777,0.587,0.567,0.142,5,1.7,6.7,17.8,3.9,18.6,11.4,11.1,1.3,1.6,9.8,16.9
Frank Kaminsky,85,240,Big 10,7.2,13.8,5.8,10,1.4,3.8,4,5.3,9.1,2.6,1,2.1,1.6,3.2,19.8,0.522,0.58,0.369,0.763,0.609,0.573,0.259,8.4,4.6,13,29.6,7.9,20.7,14.4,14.9,1.7,5.2,9.2,25.5
Marcus Sasser,74,195,Big 12,6.1,14.9,2.5,5.4,3.5,9.6,3,3.6,3.6,3.3,1.8,0.1,1.9,2.2,18.6,0.406,0.471,0.369,0.824,0.56,0.524,0.212,5.5,3.5,9,19.8,1.3,8.8,5.1,16.1,2.8,0.5,10.1,23.4
Aaron Holiday,73,185,Big 10,5.9,13.2,3.7,7.9,2.2,5.3,3.9,4.9,4,5.9,1.6,0.3,3.8,3.4,18,0.45,0.469,0.422,0.795,0.58,0.535,0.123,3,1.2,4.2,17.4,1.7,8.7,5.4,25.5,2.2,0.7,19.6,23.3
Jordan Clarkson,75,194,Multiple,6.4,14.6,5.1,10.6,1.3,4,5.3,6.6,4.2,3.4,1.2,0.4,3.4,2.9,19.4,0.44,0.485,0.322,0.805,0.548,0.484,0.136,3,0.5,3.5,19.1,3.2,9.4,6.4,20.5,1.8,1,16.3,27.8
Solomon Hill,78,226,Big 12,4.8,10,3.7,7,1.1,3,3.4,4.5,7.7,3,1.3,0.5,2.9,3.4,14.2,0.481,0.528,0.375,0.745,0.582,0.538,0.149,4.3,2.7,6.9,17.9,7.8,15.8,11.8,15.8,1.9,1.3,19.1,19.7
Elfrid Payton,75,195,Sun Belt,6.4,13.1,6,11.7,0.4,1.4,5,8.2,6.4,6.2,2.5,0.6,4.3,2.9,18.1,0.485,0.512,0.268,0.611,0.533,0.5,0.139,2.3,1.6,4,21.3,5.2,13.5,9.2,32,3.5,1.6,20.1,25.6
Brandon Clarke,80,215,Multiple,8.6,13.4,8.5,13.1,0.1,0.4,3.6,5.8,11,2.7,1.5,3.4,2.1,3.1,20.8,0.639,0.649,0.25,0.618,0.643,0.642,0.241,6.5,3.9,10.4,30.3,11.7,19.6,15.7,14.5,2,8.8,11.6,22.5
David Roddy,76,255,MWC,7.5,14.3,6.3,10.6,1.2,3.7,4.5,6.1,9.9,3.2,1.2,1.1,3,2.9,20.7,0.522,0.593,0.319,0.739,0.6,0.563,0.203,5.1,1.6,6.7,25.3,8,21.3,15,17.5,1.7,3.5,14.6,26.7
Mason Plumlee,82,254,ACC,5.8,10,5.7,9.9,0,0.1,3.6,6.2,11.9,2.3,1.3,2.2,3.1,3.8,15.2,0.574,0.578,0.2,0.583,0.584,0.575,0.181,4.4,4,8.4,22,10.8,23.7,17.3,11.1,1.8,5,19.2,20.2
Norman Powell,76,215,Big 10,5.7,12.3,4.4,8.3,1.2,4,2.9,3.9,4.8,2.4,1.8,0.6,2,3.2,15.5,0.461,0.533,0.314,0.746,0.548,0.512,0.123,1.8,2.6,4.5,16.4,1.9,11.9,6.9,11.5,2.6,1.7,12.5,20.3
Toumani Camara,79,229,Multiple,6.1,12,5.3,9.3,0.8,2.7,3,4.7,10,2,1.4,1.2,3.2,4,16.1,0.513,0.573,0.307,0.631,0.566,0.548,0.141,1.5,2.2,3.7,18.8,9.1,19.8,14.7,10.5,2.1,3.2,18.4,22.3
Danny Green,78,215,ACC,6.8,14.9,4.3,8.1,2.5,6.8,2.8,3.3,8.2,3.5,2.2,2.1,2.9,3.8,18.9,0.455,0.522,0.375,0.845,0.574,0.54,0.233,,,,,,,10.9,15.1,,3.6,14.9,22.3
Malachi Flynn,73,185,Multiple,5.7,13.7,3.1,6.3,2.7,7.4,3.1,3.7,4.3,4.9,1.6,0.1,2.4,2.2,17.3,0.42,0.488,0.363,0.833,0.559,0.518,0.144,3.6,1.1,4.7,19.2,2,10.6,6.4,24.5,2.4,0.2,13.4,23.4
Jeff Green,80,235,Big East,5.7,11.7,4.7,8.8,1.1,2.9,3.3,4.7,7.8,3.8,1.1,1.5,3,3,15.8,0.488,0.531,0.359,0.7,0.565,0.533,0.174,,,,,,,12.7,20.8,,2.9,17.8,24.1
Saben Lee,74,183,SEC,6,12.7,4.8,9.1,1.2,3.6,5,7,4.3,4.8,1.6,0.3,3.5,2.7,18.1,0.471,0.527,0.328,0.718,0.567,0.517,0.116,2.8,0.7,3.5,19.1,2.1,10.5,6.2,27.7,2.4,0.7,17.9,24.9
Jared Butler,75,193,Big 12,6.8,15.7,3.6,7.5,3.1,8.2,2.8,3.6,4.4,4.8,2.1,0.3,3.3,3.3,19.5,0.431,0.483,0.384,0.782,0.56,0.531,0.183,5.1,3.1,8.2,20.2,2.1,10.9,6.4,23.7,3,0.7,15.9,25.7
Terance Mann,77,215,ACC,5.6,10.1,5,8.3,0.6,1.8,2.9,4.3,7.8,3,1.2,0.4,2.1,3.1,14.6,0.552,0.601,0.327,0.67,0.602,0.581,0.158,4.1,2.5,6.5,18.6,8.5,13.6,11.1,13.7,1.7,1,14.8,17.2
Taurean Prince,78,218,Big 12,7.2,15.6,5.2,10.3,2,5.3,3.9,5.5,8.4,2.2,1.9,1,3.4,4.2,20.3,0.46,0.504,0.376,0.718,0.557,0.524,0.165,5,2.4,7.4,21.8,9.1,15.5,12.3,12.1,2.9,2.7,15.7,27.3
Damian Jones,82,245,SEC,7.6,13.4,7.6,13.2,0,0.1,4.4,7.8,9.4,1.1,0.6,2.5,2.9,4.5,19.6,0.566,0.57,0.125,0.565,0.573,0.567,0.151,1.7,2,3.7,21.7,9.6,16.7,13.4,6.3,0.9,6.4,14.7,26.6
Mikal Bridges,78,209,Big East,5.8,11,3.6,5.6,2.2,5.4,2.8,3.3,6.4,2.3,2.1,1.3,1.6,3.2,16.5,0.525,0.645,0.4,0.845,0.656,0.623,0.216,6.4,5.1,11.5,22.7,5.3,13.4,9.6,10.3,3,3.6,11,18.3
James Harden,77,220,Big 12,6.9,13.7,5.2,9.2,1.7,4.5,6.2,8.2,6.2,4.3,2.2,0.5,3.4,2.8,21.7,0.506,0.57,0.376,0.755,0.618,0.568,0.23,,,,,,,10.3,27,,1,16.4,30.5
Andrew Nembhard,76,191,Multiple,4.6,10.4,3.2,6.2,1.4,4.2,1.8,2.3,3.6,6.6,1.5,0.1,2.4,2.2,12.5,0.446,0.515,0.343,0.79,0.545,0.515,0.148,2.9,2.5,5.3,15.8,0.8,9.2,5.2,28.4,2.2,0.3,17.6,17.6
Taj Gibson,81,232,Big 10,5.8,10.1,5.8,10.1,0,0,3.5,5.6,10.4,1.7,0.9,2.9,3,3.8,15.2,0.58,0.58,,0.629,0.597,0.58,0.215,,,,,,,14.8,8.4,,5.5,19.2,19.2
Jordan Nwora,80,225,ACC,7.2,16.1,4.3,8.7,2.9,7.4,3.9,5,9.2,1.6,1.2,0.4,2.7,2.8,21.2,0.445,0.489,0.394,0.785,0.573,0.535,0.177,5.4,2.5,7.9,21.3,5.1,20,12.9,8.5,1.7,1.1,12.9,27.1
Montrezl Harrell,79,240,ACC,7.2,12.3,7.1,11.8,0.1,0.5,2.9,5.5,10.5,1.4,1.2,1.6,2,2.9,17.5,0.586,0.6,0.275,0.533,0.586,0.592,0.217,5.3,3.4,8.7,24.1,11.1,18.5,14.8,7.4,1.8,4.4,11.6,21
Alec Burks,77,214,Big 12,8.1,16.3,7.2,13.4,0.9,2.9,7.6,9.4,7.6,3.1,1.4,0.5,3,3.1,24.6,0.495,0.533,0.313,0.804,0.592,0.522,0.206,8,0,8.1,27.8,8.8,13.7,11.3,17,2.1,1.2,12.6,30
Chimezie Metu,82,225,Big 10,7,13.2,6.9,12.6,0.2,0.6,4,5.8,9.3,1.7,1.1,2.4,2.6,3.7,18.3,0.533,0.545,0.302,0.692,0.573,0.54,0.147,2.1,2.4,4.5,21.5,7.8,18.6,13.3,8.4,1.5,6.2,13.8,23
Cameron Payne,75,183,Missouri Valley,7.8,18,5,10.2,2.8,7.8,4.5,5.8,4.5,7,2.2,0.7,3.5,3,22.9,0.432,0.487,0.359,0.781,0.551,0.509,0.202,5.7,0.8,6.4,25.3,1.7,10.9,6.5,37.1,3.3,1.7,14.5,30.5
Blake Griffin,82,251,SEC,9.2,14.9,9.2,14.7,0.1,0.2,5.8,9.9,15.3,2.7,1.4,1.3,3.7,3.3,24.3,0.618,0.622,0.3,0.589,0.62,0.62,0.29,,,,,,,21.8,16.4,,2.4,15.7,29.5
Jimmy Butler,79,230,Big East,5,9.8,4.5,8.6,0.5,1.2,5.9,7.6,7.4,2.3,1.5,0.6,1.4,2.3,16.3,0.508,0.525,0.383,0.773,0.607,0.531,0.203,7.2,2.2,9.4,24.7,8.5,13.2,11.1,11.2,2.4,1.6,9.5,19
Keita Bates-Diop,80,229,Big 10,6.9,14.7,5.1,9.5,1.8,5.2,3.1,4,9.2,1.8,1,1.9,2,2.3,18.8,0.472,0.537,0.352,0.776,0.567,0.534,0.177,5.1,3.1,8.2,22.5,5.5,20.2,13.2,9.3,1.5,5.4,10.7,23.8
Reggie Jackson,74,208,ACC,6.6,14.1,4.8,9.1,1.7,5,3.2,4.3,6.2,5,1.2,0.7,2.9,2.5,18.1,0.465,0.527,0.351,0.753,0.56,0.527,0.156,8.9,0.9,9.8,23.9,5.5,12.8,9.2,26.8,1.6,1.6,15.3,24.8
Josh Richardson,77,200,SEC,4.8,10.5,3.7,7.3,1,3.2,2.5,3.3,4.6,2.6,1.5,0.9,2.2,3.1,13,0.456,0.516,0.318,0.758,0.542,0.504,0.125,2.5,3,5.5,16.2,3.6,10.7,7,14.4,2.5,2.5,15.3,19
Matisse Thybulle,77,201,Big 10,4.5,10.4,2.5,5,1.9,5.4,1.7,2.2,4.2,2.8,3.3,1.9,2.5,3.8,12.5,0.429,0.507,0.358,0.782,0.55,0.522,0.112,1.7,5.3,7,16.5,3.4,8.4,5.9,12.8,4.7,4.9,18.2,17
Trey Burke,73,185,Big 10,6.7,14.9,4.7,9.3,2,5.6,3.5,4.5,3.7,6.4,1.4,0.5,2.8,1.9,18.9,0.45,0.499,0.367,0.777,0.556,0.519,0.197,7.5,2.6,10.1,24.3,2.1,10.1,6.1,33.2,2.3,1.4,14,27.4
Rui Hachimura,80,230,WCC,9.2,15.9,8.7,14.4,0.5,1.5,5.6,7.5,9,1.6,1.2,1,2.4,3.2,24.5,0.579,0.607,0.316,0.746,0.629,0.594,0.246,5.3,2.7,8,27,6.8,17.4,12.6,7.4,1.7,2.6,10.9,26.9
Harrison Barnes,80,225,ACC,8,18.5,5.9,12.5,2.1,6,4.3,5.8,7.5,1.7,1.2,0.5,2.7,2.5,22.3,0.43,0.469,0.349,0.734,0.524,0.487,0.17,4.8,2.3,7.1,20.3,7.1,12.3,9.7,8.4,1.7,1.3,11.1,27.3
Kessler Edwards,79,203,WCC,5.8,12.4,3.8,7.2,2.1,5.2,3,3.9,8.2,1.5,1.3,1.7,2,3,16.8,0.469,0.522,0.395,0.789,0.587,0.551,0.141,3.5,0.8,4.3,19.7,6.1,18,12,7.6,1.8,4.8,12,20.2
Kris Dunn,75,205,Big East,5.7,12.6,4.7,9.8,1,2.7,3.9,5.6,6.5,7.4,2.8,0.5,4.2,3.7,16.2,0.45,0.476,0.354,0.693,0.531,0.488,0.144,3.3,4.9,8.2,20.7,3.9,15.1,9.3,40.3,4.1,1.4,21.6,24.6
Ja Morant,74,174,Missouri Valley,6.9,14.3,5.5,10,1.5,4.3,5.8,7.2,6.9,9.3,1.5,0.7,4.3,2,21.1,0.485,0.545,0.343,0.81,0.597,0.536,0.239,6.2,1.5,7.7,26.7,5,14,9.8,43,2.2,1.8,19.7,27.2
Quentin Grimes,76,210,Multiple,5.8,14.1,3,6.5,2.8,7.6,2.7,3.9,5.3,3,1.3,0.3,2.8,3.1,17.1,0.411,0.464,0.366,0.701,0.536,0.51,0.153,3.5,2.2,5.7,16.3,3.4,11.2,7.3,14.4,1.9,0.9,14.8,23.1
Cody Martin,78,205,Multiple,5.1,10.2,4.5,8.4,0.6,1.8,2.6,3.7,6.3,4.9,1.8,1.1,2.3,3.2,13.4,0.501,0.539,0.325,0.689,0.558,0.529,0.15,3,3.3,6.3,18.7,5.4,12,8.8,22.5,2.5,3,16,17.8
Shake Milton,77,205,ACC,5.1,11.4,2.6,5.5,2.5,5.9,2.6,3.4,4.5,4.5,1.3,0.4,2.1,1.8,15.4,0.452,0.478,0.427,0.791,0.595,0.562,0.181,4.7,2.4,7.1,19,1.5,11.3,6.6,21.3,2,1.4,14,19.7
Cody Zeller,83,240,Big 10,7.6,12.9,7.6,12.9,0,0,6.9,9.1,10.1,1.8,1.6,1.7,2.7,3.4,22.2,0.592,0.594,0,0.756,0.643,0.592,0.271,7.7,3.7,11.4,30.6,11.8,19.4,15.7,9.5,2.5,4.4,13.5,25.4
Luke Kennard,77,206,ACC,6.6,14.4,4.1,7.9,2.5,6.6,4.4,5,5.6,2.6,1.1,0.3,1.5,2.7,20.2,0.461,0.526,0.383,0.867,0.6,0.548,0.192,6.6,1.8,8.4,22.3,4,11.5,7.9,12.4,1.7,0.8,8.3,22.9
Dwayne Bacon,78,221,ACC,8.4,18.7,6.6,13,1.8,5.7,4.3,5.9,6.9,2.2,1.4,0.1,2.9,2.6,22.9,0.449,0.51,0.312,0.733,0.533,0.497,0.135,3.5,0.7,4.2,19.9,4.7,14.7,9.8,11,1.9,0.3,11.9,29.1
Jaylen Nowell,76,201,Big 10,7.2,15.1,5.6,11.2,1.5,3.9,3.3,4.2,5.5,3.5,1.4,0.3,3.3,3,19.2,0.476,0.504,0.396,0.789,0.563,0.527,0.138,2.5,1.1,3.6,19,3.6,12.9,8.3,19.3,2,0.8,16,26
Pascal Siakam,80,245,Conference USA,7.9,14.4,7.9,14.1,0.1,0.3,4.3,6.1,11.8,1.9,1.1,2.4,2.4,3.2,20.3,0.551,0.559,0.176,0.711,0.586,0.553,0.247,4.7,2.3,6.9,29,13.5,20.9,17.4,11.1,1.7,6.2,12,25.4
Al Horford,81,240,SEC,6.1,10.4,6.1,10.3,0,0.1,3.9,6.3,12.4,2.7,1.3,2.7,2.5,3.9,16.1,0.586,0.589,0,0.619,0.601,0.586,0.244,,,,,,,17,11.6,,4.9,15.6,18.6
Victor Oladipo,75,213,Big 10,6.3,11.8,5.6,9.6,0.8,2.2,4,5.6,8.4,2.7,2.5,0.9,3.2,3.9,17.5,0.538,0.585,0.338,0.716,0.604,0.57,0.198,5.7,4.2,9.9,24.1,10.4,15.7,13.1,13.9,3.8,2.3,18,22.7
Spencer Dinwiddie,77,215,Big 12,4.5,10.7,2.7,6.1,1.8,4.6,6.5,7.8,4.4,3.5,1.5,0.4,2.4,2.8,17.2,0.42,0.446,0.386,0.83,0.599,0.504,0.19,4.6,3.1,7.8,20.9,2,11.3,6.7,18.9,2.3,1.2,14.1,21.8
Moritz Wagner,83,245,Big 10,7.5,13.7,5.5,8.6,2,5.1,2.9,4.1,8.6,1,1.5,0.7,2.2,4.8,19.9,0.547,0.643,0.385,0.698,0.633,0.618,0.191,4.4,2.7,7.2,23.3,7.3,19.6,13.5,5.5,2.3,1.9,12.5,24.7
Sterling Brown,77,219,ACC,4.5,9,3,5.7,1.5,3.3,2.2,2.9,7.5,3.4,1.6,0.6,2.4,3.5,12.7,0.504,0.534,0.451,0.77,0.616,0.586,0.174,3.6,3.6,7.3,18.1,6.9,14.8,11.1,15.6,2.5,1.9,18.9,16.7
Sandro Mamukelashvili,81,240,Big East,5.7,12.5,4.3,8.3,1.4,4.3,2.8,4.2,9.3,2.6,0.9,1.2,2.6,3.4,15.7,0.459,0.521,0.339,0.663,0.542,0.517,0.131,3.3,1.9,5.2,18.2,7.9,18.4,13.2,13.6,1.4,3.3,15.1,21.4
Obi Toppin,81,220,Atlantic 10,9.6,14.9,8.7,12.6,0.9,2.2,3.5,4.9,9.1,2.8,1.1,1.4,2.8,2.6,23.6,0.647,0.688,0.417,0.706,0.687,0.679,0.251,7.7,2.9,10.6,30.3,6.4,19.7,13.8,15.1,1.6,3.9,14.1,26.7
Richaun Holmes,81,235,Mid-American,6.4,11.6,5.9,10.2,0.5,1.4,4,5.8,10.4,1,1.2,3.9,2.3,3.7,17.3,0.554,0.58,0.353,0.697,0.605,0.574,0.2,3.3,3.1,6.4,26.4,11.5,18.9,15.2,5.9,1.8,11,13.7,21.8
