player_name,height_in,weight_lbs,school_conf,col_fg,col_fga,col_2p,col_2pa,col_3p,col_3pa,col_ft,col_fta,col_trb,col_ast,col_stl,col_blk,col_tov,col_pf,col_pts,col_fgp,col_2pp,col_3pp,col_ftp,col_tsp,col_efgp,col_ws/40,col_obpm,col_dbpm,col_bpm,col_per,col_orbp,col_drbp,col_trbp,col_astp,col_stlp,col_blkp,col_tovp,col_usgp
Sam Hauser,79,217,Multiple,5.9,12.3,2.8,5.2,3.1,7.1,1.9,2.2,7.8,2.7,1,0.6,1.4,2.6,16.9,0.483,0.543,0.439,0.88,12.3,0.483,16.9,,,,5.9,3.1,7.1,0.439,1.9,2.2,0.88,7.8,2.7
Jose Alvarado,73,179,ACC,5.3,12,3.4,6.5,1.9,5.5,3,3.8,4.2,4.1,2.4,0.1,2.6,2.9,15.4,0.444,0.531,0.341,0.79,0.562,0.522,0.137,2.5,3,5.5,17.7,2.1,10,6.2,21.4,3.6,0.2,15.9,21.2
Jordan Goodwin,76,200,Atlantic 10,5.7,13.4,4.8,10.1,0.9,3.2,2.7,4.7,10.2,4.1,2.3,0.4,3.1,3,14.9,0.423,0.472,0.271,0.58,0.479,0.456,0.139,2.3,2.9,5.1,19.2,10,19.2,14.5,21.8,3.4,1.2,16.3,23.4
Duane Washington Jr.,74,197,Big 10,6.4,16.2,3.2,7.3,3.2,8.9,2.6,3.2,4.7,2.9,0.6,0.1,2.5,2.2,18.7,0.397,0.442,0.361,0.8,0.527,0.497,0.111,3.9,0.7,4.6,15.5,1.1,12.2,6.8,15.6,0.9,0.2,12.2,26.3
Trendon Watford,80,237,SEC,6.7,13.9,6,11.3,0.7,2.5,3.9,5.8,8.9,2.8,1.2,0.8,3.2,2.8,18,0.484,0.528,0.29,0.662,0.542,0.511,0.129,3.6,0.7,4.3,19.5,6.6,16.8,12,12.7,1.7,2.2,16.2,23.8
Lamar Stevens,79,230,Big 10,7.4,16.9,6.6,14.1,0.8,2.9,4.8,6.5,8,2.4,1,1.2,3,3.2,20.3,0.435,0.468,0.276,0.738,0.507,0.458,0.125,2.3,1.8,4.1,18.7,5,17.7,11.2,13.1,1.4,3.1,13,28.5
Trent Forrest,76,210,ACC,4.5,9.7,4.2,8.5,0.3,1.3,3.9,5.2,6.5,5.2,2.6,0.5,3,2.4,13.2,0.462,0.494,0.248,0.748,0.541,0.478,0.151,2.6,4.7,7.3,18.4,4.6,13.7,9.2,23.1,3.6,1.5,19.7,18.5
Lindy Waters III,78,210,Big 12,4.6,10.7,2.5,5.4,2.1,5.4,2.4,2.9,5.2,3,1.4,0.3,2,3.2,13.6,0.427,0.464,0.39,0.817,0.563,0.524,0.116,2.6,2.2,4.8,15,2.9,11.6,7.3,14.9,2.1,0.8,13.9,17.7
Anthony Lamb,78,227,America East,8.4,17.8,6.7,12.5,1.8,5.3,5.2,6.6,9.4,2.4,1.2,2,3.1,3.4,23.8,0.476,0.535,0.336,0.783,0.571,0.526,0.226,4.8,1.9,6.7,27.6,7.5,20.8,14.3,14.1,1.9,5.8,12.8,31.9
Caleb Martin,77,205,Multiple,6.1,14.8,3,6,3.1,8.7,3.7,5.1,6.3,2.6,1.4,0.8,2,3,19,0.414,0.494,0.359,0.725,0.555,0.521,0.154,4.7,1.8,6.5,19.4,3.4,13.9,8.7,12.8,2,2.1,10.4,23.9
Max Strus,77,215,Big East,6.7,15.9,3.5,6.7,3.2,9.2,3.7,4.5,6.3,2.7,1.2,0.5,2.5,3.2,20.3,0.42,0.515,0.35,0.825,0.562,0.521,0.136,4.3,0.7,5,18.9,4,14.1,9,13.1,1.7,1.7,12.2,24.7
John Konchar,77,210,Horizon,6.5,11.7,4.8,7.7,1.7,4,3,4.3,9.8,4.7,2.3,0.7,2.1,2.3,17.7,0.556,0.629,0.416,0.697,0.643,0.627,0.209,5.2,1.7,6.9,25.7,7.6,20.4,14,20.9,3.2,1.8,13.3,19.2
Garrison Mathews,78,215,ASUN,8,17.9,4.2,7.7,3.8,10.2,6.4,8.2,7.1,2.7,1.2,0.3,2.9,3.3,26.3,0.446,0.541,0.374,0.789,0.602,0.552,0.187,4.9,-0.8,4.1,22.9,4.1,15.2,9.8,13.4,1.6,0.9,11.8,29
Dean Wade,81,228,Big 12,5.9,11.9,4.5,8.3,1.4,3.6,3.1,4.4,7.4,2.8,1.3,0.9,1.6,3.1,16.3,0.498,0.547,0.386,0.711,0.585,0.556,0.18,5.5,3,8.4,21.1,7.2,15.2,11.2,15.4,1.9,2.6,10.3,20.4
Terence Davis,76,201,SEC,7.5,16.8,5.1,9.7,2.4,7.1,3.2,4.5,8.1,3.4,1.9,0.9,3.3,4.3,20.6,0.445,0.522,0.339,0.717,0.543,0.516,0.132,3.7,2.2,6,20.3,5.3,17.2,11.2,18.4,2.7,2.6,14.8,27
Luke Kornet,85,250,SEC,5,11.9,3,5.8,1.9,6.1,2.8,3.6,7.9,1.9,0.6,2.7,1.8,3.2,14.7,0.417,0.519,0.32,0.779,0.54,0.499,0.139,3.5,3.3,6.8,18.1,6.1,15.7,11.3,9.8,1,6.9,11.6,20.5
Amir Coffey,79,210,Big 10,5.7,12.7,4.4,8.8,1.3,3.9,4.5,6.1,4.5,3.8,1.1,0.2,2.5,2,17.1,0.448,0.502,0.328,0.734,0.55,0.498,0.123,2.9,1.9,4.8,16.9,2.4,9.8,6.1,19.3,1.6,0.6,13.7,22.5
Armoni Brooks,75,195,Big 12,6,14.5,1.8,3.9,4.2,10.6,1.1,1.5,7.8,1,1.2,0.5,1.1,2.4,17.3,0.415,0.464,0.397,0.711,0.569,0.56,0.185,5.6,2.3,7.8,18.5,4.2,17.1,10.8,5,1.8,1.4,6.9,20.5
Oshae Brissett,79,210,ACC,4.9,13.1,3.5,8.8,1.3,4.4,4.3,5.9,9.2,1.5,1.2,0.9,2.2,2.4,15.4,0.371,0.404,0.307,0.736,0.484,0.422,0.125,2,2.2,4.1,16.6,7.2,18.8,13.1,8.3,1.8,3,12,23.6
Luguentz Dort,76,220,Big 12,6.5,16,4.5,9.5,2,6.6,5.4,7.7,5.4,2.9,1.9,0.3,3.7,3.8,20.4,0.405,0.472,0.307,0.7,0.518,0.467,0.115,1.5,1.6,3.1,16.5,4.4,10,7.3,15.1,2.7,0.8,15.8,27.9
Naz Reid,81,264,SEC,7.4,15.8,6.2,12.1,1.2,3.6,4,5.5,10.6,1.3,1.1,1,3.7,4.7,20,0.468,0.509,0.333,0.727,0.544,0.507,0.131,2.3,0.5,2.8,19.4,10.5,19.2,14.9,6.2,1.5,2.8,16.6,26.4
Moses Brown,86,258,Big 10,7.1,11.7,7.1,11.7,0,0,2.4,6.8,14.2,0.5,1,3.3,2.6,4,16.6,0.607,0.607,,0.352,0.556,0.607,0.131,1.8,1.6,3.4,22.4,15.6,21,18.4,2.4,1.4,8.7,14.9,20.6
Duncan Robinson,79,215,Big 10,5,11,1.7,3.1,3.3,7.9,1.7,2,4.1,2,0.9,0.5,1.1,3.5,15,0.455,0.545,0.419,0.864,0.629,0.606,0.155,4.5,2.1,6.6,16.8,2.3,10.4,6.4,9.3,1.4,1.2,8.6,17.8
Kenrich Williams,78,210,Big 12,5.1,10.5,3.8,7.2,1.2,3.3,2.3,3.7,10.7,3.3,1.7,0.9,1.8,3.1,13.7,0.484,0.533,0.375,0.625,0.559,0.542,0.171,5.5,3.4,8.9,21,11,20.5,15.8,14.9,2.5,2.3,12.6,17.6
Kendrick Nunn,75,190,Multiple,6.6,15.5,3.6,7.5,3.1,8,2.5,3.1,4.8,2.8,1.5,0.3,2.2,2.4,18.9,0.428,0.474,0.386,0.821,0.557,0.528,0.124,3.6,1.3,4.9,18.1,1.7,12.4,7,15.5,2.3,0.8,11.7,24.7
Jae'Sean Tate,76,230,Big 10,6.8,12.3,6.4,10.9,0.4,1.4,2.7,5,8.5,2.4,1.5,0.7,2.6,4.2,16.7,0.552,0.588,0.277,0.555,0.57,0.568,0.153,2.5,2.8,5.3,19.7,7.5,16.5,12.2,12.2,2.2,2,15,22.1
Gabe Vincent,74,200,Big West,5.9,14.4,3,6.8,2.9,7.7,2.5,3.2,3.6,3.4,1.4,0.2,1.8,3.6,17.2,0.409,0.446,0.376,0.769,0.538,0.509,0.129,1.9,0.3,2.2,16.4,1.8,8.3,5,17.6,2.1,0.6,10.3,22.9
Jordan McLaughlin,73,185,Big 10,5.3,12.1,3.6,7.6,1.7,4.5,3,4,4.2,6.9,2,0.2,2.8,1.2,15.4,0.439,0.474,0.379,0.738,0.546,0.51,0.137,3.9,1.8,5.7,19.2,2.2,9.5,5.9,31.4,2.8,0.5,16.7,20.9
Yuta Watanabe,81,215,Atlantic 10,5.1,11.9,3.5,7.3,1.5,4.6,2.8,3.6,6,2,0.9,1.5,1.7,2.4,14.5,0.425,0.481,0.337,0.788,0.533,0.49,0.122,2.1,1,3.1,16.6,4.3,13.3,8.8,10.1,1.4,3.9,11,19.8
Jock Landale,83,255,WCC,9.4,15,9.3,14.6,0.1,0.4,5,6.8,12.1,2.2,0.5,1.4,2.9,4.2,23.9,0.625,0.634,0.276,0.738,0.654,0.628,0.267,6,2,8,31.6,12.6,25.7,19.6,12.6,0.8,3.6,13.9,29.8
Drew Eubanks,82,245,Big 10,6.6,11,6.6,11,0,0,3.4,5,9.3,1.3,0.7,2.4,2.9,4,16.6,0.598,0.598,,0.693,0.622,0.598,0.132,1.1,1.7,2.8,20.7,8.1,19.1,13.7,7.4,1.1,6.9,17.6,21
